municipio,taxa_de_escolarizacao_(%)_total,taxa_de_escolarizacao_(%)_por_grupos_de_idade_0_a_6_anos,taxa_de_escolarizacao_(%)_por_grupos_de_idade_7_a_14_anos,taxa_de_escolarizacao_(%)_por_grupos_de_idade_15_a_17_anos,taxa_de_escolarizacao_(%)_por_grupos_de_idade_18_a_24_anos,taxa_de_escolarizacao_(%)_por_grupos_de_idade_25_anos_ou_mais
Lagoa dos Gatos,31.72748850511683,26.650351909137072,88.28783770505896,72.9998256275115,27.917159973549982,4.382546499349541
Lagoa Grande,32.416811018815025,24.049982449014614,88.5295410079033,59.76085894913547,29.566321964783803,5.246985217695407
Lajedo,30.071119461519864,36.55121651238545,90.64078848882897,59.029958561747975,25.33170924798918,3.3717423095985852
Limoeiro,29.75767880486081,32.90146738789269,92.70851649644037,71.26730147079155,26.713059095156783,3.2154423047628824
Macaparana,31.263206582247584,30.903074921560012,88.39632589436857,64.82919758788758,26.946206100638893,3.127194280501628
Machados,30.734369128021072,26.30448001168681,88.93710205196126,61.30020209596015,26.771579600852906,3.122154884353429
Manari,34.49017876076719,15.661645889055482,90.6547964438392,72.78347666080585,29.254707185903833,4.705011969962908
Maraial,34.09011564009334,11.626873780790287,90.27605967064822,68.99142119785829,33.428214653489405,6.4170912014033865
Mirandiba,35.46395359744257,29.01501014958176,92.57904115063599,72.32623864898524,36.77162602966298,3.712411199225464
Moreilandia,38.51998890323898,37.93747465794512,95.73388466337468,83.8419947173832,41.97022212830199,3.6920669141385294
Moreno,32.98154923282916,38.84261411715357,93.31702634470965,78.86642100417724,37.52671473238867,4.08218697458927
Nazare da Mata,35.777645875545005,50.81304433302796,92.44840108820937,73.74901890610221,38.81013847813398,7.626188621830583
Olinda,32.95398188068299,44.971570843647605,94.82419144823754,83.15327988802795,41.09924240947807,5.14212658204353
Orobo,35.91696789093741,38.40346937028618,94.61326203635453,78.73359510205566,33.198496949381116,2.777568373452694
Oroco,35.68256294053996,27.82508683738813,91.2428852626443,70.3872536535197,29.289434749221943,6.092792568572236
Ouricuri,33.55867587392736,16.94597763200287,88.47666031502095,73.02084592570732,35.62144567733402,6.529889581956081
Palmares,33.04679195151293,22.79588659274242,89.29153692462788,71.08393895205496,36.12935624727272,6.506872911070515
Palmeirina,32.73666185734024,27.13006165193756,89.8665351876524,67.9954745512171,28.234140271579243,6.306083325806084
Panelas,37.75407476185832,31.104594187144702,95.86034035121084,78.6118180128891,42.49409067941109,5.201179804434587
Paranatama,31.13576588803309,22.32446673967508,91.78707543762478,66.78563777161722,33.421927529307915,2.2827330947879103
Parnamirim,30.520692345751577,20.04016731803463,83.17252282929117,72.00793897581825,30.004307400865937,4.03743371292051
Passira,32.71977698905043,33.615106892863224,91.21673251781874,73.85333494837504,28.178599751921862,4.121383726594506
Paudalho,31.348915251011118,28.937815099626285,87.1084876528387,66.37431090276218,29.633670549761753,5.061172912810977
Paulista,33.966949656477524,48.12056360968236,95.97281502863429,84.4955918181985,40.26263280030574,5.369070918797993
Pedra,32.38215152862679,28.89667735079091,91.51200531409361,72.41511157144724,32.96881878020235,2.8732604712297163
Pesqueira,31.30406851868387,36.07212321195218,89.67229865645105,77.31822623659525,33.81745652064368,3.164802176270508
Petrolandia,34.17200997040617,32.3138139090583,93.18629773316434,71.95790420710351,25.819816099549996,3.9751672253567794
Petrolina,35.77909192729158,35.221866567008085,92.06918597734027,78.14908269697594,35.83103090633875,7.513137226801739
