municipio,populacao_residente_por_cor_(%)_(1)_branca,populacao_residente_por_cor_(%)_(1)_preta,populacao_residente_por_cor_(%)_(1)_parda,populacao_residente_por_cor_(%)_(1)_amarela,populacao_residente_por_cor_(%)_(1)_indigena
Escada,34.061296885237795,5.99972628648956,59.243605404728264,0.01653573146631406,0.09941229382221459
Exu,28.852092680286084,4.8540695091085455,65.29092706575939,0.0891615818096777,0.032882190328026355
Feira Nova,34.72148587261647,1.4726546578794721,62.847575225381604,0.0,0.0572914221257164
Fernando de Noronha,39.0120814403212,5.546695880763204,52.3146398316765,0.0,0.0
Ferreiros,36.55599462322865,2.0210655082568376,60.87354822869966,0.0,0.08195569292844543
Flores,33.41236475624793,4.441446758061293,61.20461618553033,0.03106628579012468,0.14280433650461988
Floresta,32.35630339223426,6.558857136539761,57.938759430129814,0.6780524343824699,1.9914644283853804
Frei Miguelinho,62.30769403876499,0.7214463467139546,36.07250687137363,0.07591888279885643,0.0
Gameleira,32.599010839383205,11.489047449755516,55.46024227990809,0.10318946835979888,0.0
Garanhuns,42.70975911996354,3.0727644127790703,53.50827998725413,0.03779852002982332,0.09429764559341658
Gloria do Goita,32.35583369686266,6.656448273758092,60.662937323452425,0.0,0.049711204036289064
Goiana,31.56197084076774,5.1894346753872584,62.22430158162674,0.16966771121336904,0.22480659626066013
Granito,26.932197004803378,10.972645912176983,61.72143609854878,0.0,0.0
Gravata,54.790968866470344,1.9981212905302401,41.83694687331599,0.5709171327016817,0.048188828073971395
Iati,33.92591009374936,2.9445473817145973,61.490239839922346,0.036181710700990216,0.6639755016791509
Ibimirim,42.60774764189868,4.263577147345128,52.20945078883186,0.08001943368815136,0.42719597102866574
Ibirajuba,80.66451321628686,2.2706244847802646,16.956485769356508,0.0,0.0
Igarassu,33.90646276922832,4.212344342603161,60.7112473179547,0.12348941520658188,0.2597764867447634
Iguaraci,45.13293104717988,3.3285330450448485,50.78586198742574,0.03153847053184649,0.0
Ilha de Itamaraca,33.37802503926434,6.442010448567867,59.38809419435944,0.050082991864514904,0.2513461237821386
Inaja,30.038848385045974,3.622430333886616,58.381901937224676,0.0,7.227200901959612
Ingazeira,35.71447520311878,5.621159700447535,58.24528008526789,0.1814602548715106,0.0
Ipojuca,24.28858760526449,6.017938963115242,69.07482634766664,0.05766068656036506,0.04430694283140424
