municipio,populacao_residente_por_grupos_de_idade_(%)_0_a_3_anos,populacao_residente_por_grupos_de_idade_(%)_4_a_6_anos,populacao_residente_por_grupos_de_idade_(%)_7_a_14_anos,populacao_residente_por_grupos_de_idade_(%)_15_a_17_anos,populacao_residente_por_grupos_de_idade_(%)_18_a_24_anos,populacao_residente_por_grupos_de_idade_(%)_25_a_59_anos,populacao_residente_por_grupos_de_idade_(%)_60_a_64_anos,populacao_residente_por_grupos_de_idade_(%)_65_anos_ou_mais
Araripina,10.137760161699342,7.213032390316389,19.578316872795877,6.942108305147214,13.522085924867014,34.86929937732824,2.5382505229914014,5.199146444853682
Arcoverde,8.25198094285114,6.312863569054819,16.875090552782815,6.735673556509132,13.36172904110191,38.62987012991892,3.056372500151696,6.776419707629562
Barra de Guabiraba,10.172982369124089,7.196959335315387,18.958790354722428,7.032500487701709,14.057178642100343,32.49840021849339,2.943042380091783,7.1401462124507775
Barreiros,8.695734712175252,6.234498350261268,18.435463557465283,7.698759825208781,15.434176632174898,35.04688418171902,2.833761623417655,5.620721117578073
Belem de Maria,9.214097299601558,6.604993580004012,18.361221561276214,6.593627641362769,13.23509436121302,34.6294997744105,3.749301627295059,7.612164154836619
Belem de Sao Francisco,9.681794825971057,7.578403187254747,18.725550205547094,7.801629662458273,13.991719506360958,34.080562153835395,1.7859027183938712,6.354437740178211
Belo Jardim,8.599911629282879,6.582316350511301,17.351470235480356,6.689816066544599,12.692116449657986,37.104428076804375,2.9236182548912826,8.056322936827733
Betania,8.320299099365847,6.56144218249001,18.908616965769543,7.774182064064002,14.437228816745632,33.71074745673533,3.038879676115533,7.248603738713796
Bezerros,7.102696348285638,5.774446890805504,15.51873621247813,6.580516412359183,13.389348142527298,38.28763661077327,3.788579082729324,9.55804030004126
Bodoco,10.286298280488424,7.099708439993474,20.879411955826516,7.655509018227864,13.579245637890871,32.38473417126504,2.524581887642947,5.5905106086651335
Bom Conselho,9.971129249212321,6.724889833671163,18.382672692210605,7.420503664444474,13.265600647013414,33.834417737390226,2.8254030553107348,7.575383120746743
Bom Jardim,8.168236056060067,6.666627640653471,17.484528329370654,7.389830948564659,13.843642647608135,35.23474155118012,3.395189828630881,7.817202997931975
Bonito,8.600270532522186,8.002350797033623,19.7571170638025,6.6128365065250705,12.961384669469176,34.78513266005804,2.6318407481127215,6.64906702247679
Brejao,9.36617364490772,7.667115848301203,18.666575916663717,6.4319020048293245,13.633149587636034,33.84925975828084,3.3880115910816744,6.9978116482996136
Brejinho,7.798321155131953,6.339516861420043,19.662656624358927,7.301683832258112,13.445774262247653,34.226435833806406,3.484855922661273,7.740755508115522
Brejo da Madre de Deus,9.634484647536041,7.261132038126893,18.754754618061128,6.811731873515274,13.406589257721214,34.4049452303423,2.5241243628548418,7.202237971842708
Buenos Aires,7.912462292367168,5.966484607799574,17.26954981039002,8.088701278463171,15.997248583406218,36.18093848973221,2.795941007734377,5.788673930106965
Buique,10.809036824079676,7.299907893521072,20.477378642500398,8.068401843534968,12.795882885065147,31.105061079583248,3.24650184163109,6.1978289900851395
