municipio,"pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_total","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_ate_10%","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_mais_de_10_a_30%","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_mais_de_30_a_50%","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_mais_de_50_a_90%","pessoas_de_60_anos_ou_mais_de_idade,_com_rendimento_por_classes_de_contribuicao_no_rendimento_medio_mensal_familiar_mais_de_90%"
Aracoiaba,1082.8609517999994,12.047455204026507,13.439037463498648,29.828490355394887,12.477507477336305,32.20750949974372
Araripina,5431.830895270007,6.120620219961282,14.356608320576894,37.65574868560645,16.21646548582795,25.650557288027308
Arcoverde,5976.343732100007,10.13982682647778,12.324861465275477,29.217502629428417,15.904231081200043,32.41357799761816
Barra de Guabiraba,1089.437314709999,4.915626140844584,8.130034789893092,38.06328201823929,14.60996245133838,34.28109459968474
Barreiros,3115.431831729999,14.270303414185886,6.886575522689655,35.568865064354796,14.653620807247528,28.620635191522176
Belem de Maria,1157.1781332299995,9.393672750848172,3.5767198473127015,34.16755969077882,14.162970264788544,38.699077446271815
Belem de Sao Francisco,1644.9999999000017,4.90861409573912,19.67509291001062,40.51899258301021,18.080809976783005,16.81649043445691
Belo Jardim,7423.043417170001,9.1735123952651,8.631101330999085,34.881374023097656,13.230225611079815,34.0837866395583
Betania,1156.7231654299999,3.8357202272772333,8.552668590606425,45.97907646401202,18.992070448276536,22.64046426982778
Bezerros,7586.030376190009,7.1543248879340675,8.929828295391367,38.03261474374738,14.324909016193232,31.558323056733776
Bodoco,2513.5823536199982,4.065939786011509,12.093696372916067,47.29867808817916,15.706062656806957,20.83562309608638
Bom Conselho,4313.990545230003,4.217394930111046,10.420084941239327,39.535578763978634,15.30167762629637,30.52526373837453
Bom Jardim,4164.022876740002,3.1041601695328715,7.373813940964371,50.70534081750754,9.391623370622948,29.42506170137221
Bonito,3538.266099999999,4.728674081353011,8.947568112810965,34.93121483231576,18.776420361656815,32.61612261186349
Brejao,920.57852745,5.324497596720476,7.186421005631505,42.48691480817136,18.395904145091844,26.60626244438481
Brejinho,800.3005588199997,2.227430217752651,7.091145714514499,50.84668811427433,13.108087002297669,26.726648951160865
Brejo da Madre de Deus,3680.735673350001,6.155925293700225,10.37367535937406,42.58577706106715,13.077897722872622,27.806724562985924
Buenos Aires,1014.28991718,7.486303106621994,13.553473983277675,36.86260183079857,11.833493340218201,30.26412773908357
Buique,4125.769750570001,4.570626018913135,6.901164748969895,48.25120383305365,14.727594779520897,25.549410619542407
Cabo de Santo Agostinho,9699.43752926,16.17174109589497,13.272111155688979,25.389807973925727,14.033851238112469,31.132488536377856
Cabrobo,2108.2413411300004,5.466532526500413,13.913824734258066,39.96013402424083,16.301425324758778,24.358083390241912
Cachoeirinha,2172.2271759600003,2.384499506001659,12.290854500151799,35.61964798401212,20.123921220938154,29.581076788896244
Caetes,2484.01966151,4.545892227010677,4.883462143220708,47.063273194035204,17.52085439595253,25.986518039780876
Calcado,1313.0000000500004,3.4459097835702233,11.44610037656336,31.999126202132555,27.144577072842917,25.96428656489092
Calumbi,700.2898777500004,4.687088253432916,8.671040053455917,46.49942878172632,8.685479882334336,31.45696302905042
Camaragibe,8996.367003799993,16.38446546097321,14.095028391842943,25.880161093990022,15.846839936474588,27.79350511671933
Camocim de Sao Felix,1705.0035285799975,2.903787066131989,8.030813300664413,42.209966656748385,14.10104965355909,32.754383322896295
Camutanga,841.9545347199995,10.91417120884796,3.5790355877139275,39.01734686294538,18.081560136810527,28.40788620368227
Canhotinho,2663.014233030001,7.710199960004753,9.523094103836245,32.27561308908397,17.581003426230108,32.910089420844876
Capoeiras,1954.9999999600009,4.0851029218227115,9.881616376672767,40.60557130159806,19.403311218811318,26.024398181095123
Carnaiba,1748.9512762399993,2.1747320115040565,7.136530128405498,49.329901277456095,16.39132744774423,24.967509134890168
Carnaubeira da Penha,923.4261849600001,1.814693622828757,10.234130174042406,48.17333265888159,6.516155531436057,33.261688012811184
Carpina,5328.194558629999,15.41103596733396,10.931550199994236,27.533192846982,13.112949856313946,33.01127112937585
Caruaru,22935.137716270037,14.671461990799155,14.166596378643451,28.72881674604383,14.397524855399116,28.035600029114242
Casinhas,1488.0528477500002,4.208160987338831,6.591695972916094,51.14780147901502,14.245794586565278,23.80654697416475
Catende,3075.306604969999,14.353386388096611,7.117459147528975,29.797235446347937,12.9875295206182,35.74438949740829
Cedro,824.99999999,3.226182047311833,11.015733927406252,47.423464346029355,18.785494675379216,19.54912500387332
Cha de Alegria,841.4512314200003,6.952122572960033,2.3662013289112354,36.08425243345398,17.09277510323237,37.50464856144233
Cha Grande,1786.5639185999994,8.245210050779095,12.525697513546556,35.890932115794264,16.596768391155848,26.74139192872424
