municipio,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_total,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_10_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_11_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_12_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_13_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_14_anos,media_de_anos_de_estudo_da_populacao_de_10_anos_ou_mais_de_idade_por_grupos_de_idade_15_anos
Exu,3.4052494544134375,1.3912427949442916,1.910099116985193,2.7309661992347936,3.249365427333492,3.558087773823473,4.383265380402226
Feira Nova,3.153808735265484,1.6207019662553916,2.2738555593626306,3.1543025858823657,3.2391375698484928,4.013205163701374,4.347181680317848
Fernando de Noronha,7.230829347276518,2.5213806730045887,3.14078460262371,3.588602220537157,4.480714153348045,5.9295190141625325,5.364771959982961
Ferreiros,3.7536070884614374,1.9369403373592864,2.5600920130974587,2.876563797641468,4.199230654937528,4.624249628456939,4.493916404474875
Flores,3.21507203785996,1.8633357949417269,2.35168627565828,3.1790038667739577,3.7359769072275593,4.034650660911643,4.657515147449652
Floresta,4.748906138674595,2.101067797578447,2.4136247634399988,2.8536697888272067,3.608231719342826,4.673289687922849,4.820904048181361
Frei Miguelinho,2.835769252224978,1.5845548057981647,2.089852521060852,2.6445194406711745,2.9963731470950448,3.6638724574312564,3.772492455082401
Gameleira,3.342327003512771,1.3211680864774047,1.7623872560982223,2.7552809110041285,3.452621368298411,3.4419298743111666,3.78396813078421
Garanhuns,5.064994474409061,1.903250478168955,2.481152472634917,3.160108138396906,3.681803724319663,4.36397128943356,4.917442324179421
Gloria do Goita,3.488955530570355,1.8514537773275392,2.5166970913688065,2.8950119035988946,3.2969445093828953,3.9565474510206906,4.721804268465744
Goiana,4.726136766583554,1.9024106448786684,2.2447946499072393,3.02462850785758,3.7878938470324295,4.228150722096034,4.645746544968101
Granito,3.054900717606058,1.3713497247610866,2.5777433220681174,2.625351810736276,2.9293691844009575,3.298999579916103,3.5452152315809697
Gravata,4.144169101392611,2.0355331932758274,2.429854727383953,3.1807872899936456,3.5424315701908027,4.081364901477898,4.571150033449523
Iati,2.361291417092629,1.384694782528506,1.7935078421340476,2.1111372894720617,2.907483907275638,3.220823961144379,3.048002928671217
Ibimirim,3.0335974908919794,1.5025545503895867,1.8519371735188725,2.493224555154771,3.1908924437661237,2.9236248900392465,4.115131308169673
Ibirajuba,3.0664710943825964,1.967791870471744,1.7608808566794134,3.207523809934832,3.773000097683339,4.02715141641652,4.281802080702814
Igarassu,5.127068765421159,1.983460676311238,2.8233706615333403,3.4788148930936993,4.102235837827502,4.432717721452222,5.20846374208521
Iguaraci,3.4845029183325518,1.858948607549841,2.40907241407608,3.131144825403806,3.502858241964981,4.093072279513266,4.0509806735543945
Ilha de Itamaraca,5.252305481553111,2.043253021389248,2.664479115378318,3.2397810931977764,4.349617117572811,5.124892097847645,5.499735439667914
Inaja,3.1092036761231854,1.3350018515652737,1.832628855843076,2.4093480183525013,2.9270925903961538,3.229655102355862,3.4240026056857977
Ingazeira,3.9283655658934546,2.5718130496292497,2.743996247559699,3.310292796570012,3.436391246908938,4.122881610980737,5.281479744578144
Ipojuca,3.9692620280102453,1.3632720194785481,2.1946799527511103,2.5845153578279807,3.6161136400119083,3.742889288767654,4.365064576057463
Ipubi,3.1169238337497926,1.835562171001024,2.149609018294862,2.6103458730451505,3.130400576941933,3.784017729076847,3.729028962650749
Itacuruba,4.530950571427414,1.8968335829222605,2.456641278056994,3.6446980754388276,3.627957209863908,4.101939491867882,4.2520562227238585
Itaiba,2.330546241197795,1.036778550264825,1.561165567903986,1.8737625081018858,2.166395683535416,2.9358158886370336,3.3267541519067207
Itambe,3.275348978223698,1.3828253589941475,2.052407265480531,2.8706553360891673,3.161288670529261,3.5103507684314694,4.354354998235431
Itapetim,3.7628780036368497,2.013594589014082,2.9292188262127334,3.2806239815603044,3.6363095996700743,4.0432073649509785,3.7875354810160644
Itapissuma,4.52549941467306,2.1566976864455736,2.6157188611380384,2.9205428299205933,4.638012041519039,4.762484389195188,4.528124627842552
Itaquitinga,3.850887212772811,1.7916232804230954,2.2714054603319096,2.9841651866013867,3.3550815618282295,4.220052100095524,5.039028936746149
Jaboatao dos Guararapes,6.1859820169092306,2.109850652355329,2.847403297249001,3.5084999606547496,4.200353187228352,4.928548229648967,5.432782048445791
Jaqueira,3.1126779145746606,1.730641922956643,2.1299503275102705,2.793608121869857,2.9852605167434314,3.855542042733266,4.316576807995776
Jatauba,2.787768791705673,1.8044818225124482,2.0779838987376107,2.5423859535372295,3.3952972090408156,3.4586327915647455,3.7771935222977344
Jatoba,4.599454886165481,1.9922976979187843,3.0319943985249287,3.4024733058291514,4.010716340552892,4.22558872412522,5.154169978669096
Joao Alfredo,2.897038544246663,1.666100819129456,1.8911167507416204,2.783351318289153,3.405735996859067,3.741265910182232,3.8431269520805893
Joaquim Nabuco,3.3023103704194665,1.5334790462443215,2.200278443172325,2.7397425424009083,3.051843314181585,3.5105404173940022,3.786872120206101
Jucati,2.9055159124797325,1.5773451359640296,1.7860237236843988,2.797842989355366,2.9811152282130986,3.430808220430928,3.9959959880546916
Jupi,3.231969638401632,1.8009627368711802,2.274293454671544,2.8936935010722418,3.2759981896970922,3.7458194836380736,4.159012223916659
Jurema,2.4342277014741396,1.390148473371612,1.8983965058664736,2.0688969560592163,2.6627353552588096,3.4689044991473135,3.2870275325601956
Lagoa do Carro,4.0151368680370805,2.1493085288390534,2.6206340054437267,2.958266090424718,3.6505064742191204,4.8878442689061075,5.161501414801706
Lagoa do Itaenga,3.5118081414519264,1.4859474185426844,1.8529266105548743,2.35136387971375,3.735105654585745,3.9511216157190288,4.64824308020581
Lagoa do Ouro,2.8348334594106257,1.1407653417500445,1.7358886094253232,1.962113532719705,2.4465404626771443,2.6681112914396987,3.0149981791740776
Lagoa dos Gatos,2.627968582378068,1.4108631735710178,1.995847753172109,2.12190293438253,2.986555508921168,3.3900441345193837,3.805856663422562
