municipio,"proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_total","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_10_a_17_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_18_a_24_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_25_a_59_anos","proporcao_de_pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_(%)_por_grupos_de_idade_60_anos_ou_mais"
Barra de Guabiraba,36.77018994613306,14.97579291880807,41.09800592239953,55.01610293796148,12.955337156459578
Barreiros,29.89251145918405,5.7481678750078675,33.08531753839808,45.90375552686816,13.343971386521606
Belem de Maria,30.274975614753185,7.120717520501088,31.903942521571693,45.45497632637424,20.191695881648233
Belem de Sao Francisco,47.31630798741149,22.033912808006743,52.70822834214762,64.78267685150855,25.379165059901425
Belo Jardim,44.99599560458577,19.268673881971196,51.79725112700322,60.76910667047445,25.244823080112898
Betania,48.85284832158772,23.21150551876829,53.56203392625615,66.75681283722717,34.480152024905934
Bezerros,36.968402069498886,12.355785599140845,46.23012329550437,51.61367770350057,16.19487108110341
Bodoco,40.796009339085714,21.68792111563987,45.77693169529805,55.20852550165139,24.77623714281641
Bom Conselho,47.80092563061046,22.037357469161424,53.24568027133153,65.81419970539577,29.799473146282175
Bom Jardim,39.9637970698249,14.944196260187725,38.51664993766713,57.43019724744622,28.46422376085158
Bonito,38.93516642598138,15.366606421294568,43.30574638925535,53.517635639069795,24.42433812211271
Brejao,51.70818987545138,22.917136030951745,56.71385543748,69.89795246759239,35.64632613537416
Brejinho,50.85771260848679,29.535145359224618,49.465823383226756,66.67789843971599,43.08318835951448
Brejo da Madre de Deus,49.276184577755764,20.79996251225556,65.12447944536814,65.81166124696703,23.35499745134019
Buenos Aires,35.81491770612434,8.609731310447719,42.957536022741195,50.541689435902136,22.335191996179507
Buique,42.77945586519144,22.88970980772983,46.64816241358854,59.35629786923076,28.236992164566
Cabo de Santo Agostinho,35.07569832881819,6.216535389902892,38.70314909047392,49.57090017448718,14.41985488531662
Cabrobo,49.55051351682088,25.954774190843754,57.0532112158379,65.32808506938903,23.161621898225796
Cachoeirinha,47.058014813408924,23.086084401738148,55.77299918125288,64.0249608699392,24.233369987030436
Caetes,57.038251509137716,42.98448709886857,61.76443871949977,73.25475165830913,31.429337352931253
Calcado,68.49278078968024,59.08849533298975,75.14561210002641,80.71102624250295,40.73108476996452
Calumbi,50.87733608069125,29.823189248322805,55.27026703931441,67.94013851521677,30.86481437273293
Camaragibe,38.93567190483519,5.941996292559471,42.150751425238845,54.04911153590083,13.859426622373338
Camocim de Sao Felix,37.36462975309941,13.42420323925059,44.184139089870925,52.07580530519935,19.09142223850453
Camutanga,30.86238645626771,6.5575052772779765,30.302607422582454,45.98057633248295,21.411650323322956
Canhotinho,47.96709900871811,27.99895095290776,49.967839782119945,63.3914189386705,30.913149437439376
Capoeiras,49.57617944604931,21.297932525307058,57.197509079899454,70.21010853696794,31.061015136696895
Carnaiba,47.88348694118457,25.714219185568098,51.09246878316404,64.57942603601808,28.765209691398418
Carnaubeira da Penha,43.40391524516116,18.04242814213171,53.153726203208194,62.879226221639016,24.36483571819343
Carpina,35.06636658105147,6.519796173028575,38.85862009334897,50.468693238118036,11.249326628159574
Caruaru,48.51895461840948,15.624815466879518,57.48474512927545,64.66650329009387,22.832643778127345
Casinhas,46.798439841731216,22.10955811465768,51.60304857634781,64.48675608976991,38.64773078643846
Catende,29.714142019627527,4.772988533873462,33.74047532524051,46.96687627093039,12.47628308329335
Cedro,44.53648593767281,23.828902215787,47.63756556198344,61.360205249842814,25.381489675459168
Cha de Alegria,31.50489799656335,5.850554199955405,32.62763924931714,48.85892573372917,20.76686186684614
Cha Grande,43.28077465176108,14.36693805775785,51.885163352788624,59.51770982439193,28.02279094560242
Condado,33.50400107541031,8.523073483678283,40.29440546595065,45.93155361163681,19.750402660980544
Correntes,51.63683656119551,30.6249222597213,54.15698481774677,68.69814044977555,35.408417475898815
Cortes,32.67642277261027,9.251088679303928,37.3382675739299,49.37416772974727,13.8054810685763
Cumaru,32.622436844523094,15.118489006828128,31.050496531123358,44.91295136040789,22.81368721062821
Cupira,44.71350180681249,27.810197745216104,53.78347190424498,58.04223440921263,22.10157970703806
Custodia,39.10801458252611,17.076470443855456,40.450088595957496,54.138949084431765,25.64218923355591
Dormentes,64.30786260056071,42.52363483885594,69.86885457955519,81.8409340311842,34.63028082580645
Escada,30.74935012848301,5.732736694793879,33.976837343602796,46.338554447596245,13.127260547287495
Exu,43.54884615302757,23.44348199953074,46.81697292717405,57.69569964534498,33.121585869939864
Feira Nova,49.228708154252516,23.732792200374238,55.40314734697107,65.65912131360707,28.171660397476337
Fernando de Noronha,69.97736662091324,23.441462714147878,77.0852807828912,88.02424656532372,20.104948629696317
Ferreiros,35.45437447357519,11.175315255743417,37.03574335629597,51.27552842520144,21.27447596783136
Flores,47.493745922662086,22.92551001481538,54.94929447627661,64.50355989401494,29.545450805506846
Floresta,42.57286863826162,16.259316704654655,44.055797260356435,60.17291433097903,25.852236885786688
Frei Miguelinho,38.53650423831632,18.48534651007823,44.28903377526277,54.41005305816291,21.972914092361243
Gameleira,29.620313058995308,6.255697940859505,32.054550675181794,45.90054727666637,12.876521410855563
Garanhuns,44.0832375959015,15.215749456782179,48.783274153808776,61.03878106443021,23.986311361281444
Gloria do Goita,50.55410154026383,24.864350781147024,57.027108757610264,67.04011969188979,36.75909860695446
Goiana,36.985842913400376,9.94875267941261,40.65278845624761,52.0450442899007,17.093894191747534
Granito,25.410187516452588,7.06006882091864,23.729999806282752,40.28914109048099,14.478554324270196
Gravata,41.92854739461206,15.122117408825137,49.53325595088169,57.36556134398266,20.502090658785967
Iati,56.88836810500527,36.389114891656796,65.18142605859964,71.69372963862884,38.24527315143862
Ibimirim,36.5548826265057,18.772987181232892,40.574737556687815,52.23948468089324,17.125276903933152
Ibirajuba,44.65430930297392,18.782562709947808,52.79742630635999,59.2423458513074,37.34456252853834
Igarassu,32.169255582809384,5.301832589004957,34.285323999332846,46.5184439349741,10.599653180483598
Iguaraci,46.046184714418914,22.817272747350014,52.39796221491364,64.13462268317393,24.91066975621271
Ilha de Itamaraca,35.26621965699135,4.287144341313437,38.2115005243964,47.621630634105934,14.716010603547502
Inaja,42.462047695914315,12.360543103613777,50.3004639859466,62.34805499469241,29.76629267615517
Ingazeira,58.64600881164668,28.806453086034793,69.41810247089745,77.61809919444539,34.054083099322796
Ipojuca,33.93957533771722,5.917826323207175,39.14814978789375,49.991154747056534,12.853617915926776
Ipubi,39.81813550965132,15.481953865348071,48.82135344845979,56.367891497892266,24.661143677906644
Itacuruba,36.85774731628908,7.774241830816124,38.86790841920092,54.19505380631486,27.13428302882001
Itaiba,50.83510349246229,33.779871564634675,55.23234840768257,65.43056674551362,27.319202217949503
Itambe,32.14973219960947,11.012936419683244,37.55107837291865,47.00082891028208,12.793050242108489
Itapetim,50.113693653940985,27.08970243678755,51.7083809832124,66.60004438327421,38.43837441759362
Itapissuma,39.993479127011824,11.688991921722854,38.19836807243047,59.492965290327994,14.666079349009026
Itaquitinga,33.08806448792085,7.163538886993669,36.05455681219917,48.351675888041754,23.735744323170724
Jaboatao dos Guararapes,39.38210716109409,6.351365665655847,42.096478598077965,54.7987817166926,13.597034289998861
Jaqueira,25.289626561073387,3.0711952448758217,30.33198865763437,42.1447412400706,8.03219419040577
Jatauba,61.96361751273851,45.010117294534474,70.36734454977717,73.96774608786629,44.111694976412174
Jatoba,31.607287595218885,6.395491255908002,30.814316546012332,48.16553833338724,18.651159955533846
Joao Alfredo,42.717105447204034,22.32469921272152,48.53018911967109,58.57250451502451,23.377816842621222
Joaquim Nabuco,28.254164787100304,3.866589776104522,28.742426914673874,47.04425780190809,12.122838742436812
Jucati,54.445173357658724,30.53749157218335,58.68482890767821,71.51783543478302,37.28919861527303
Jupi,60.401734119524576,41.10582622827512,71.65138803200843,75.54723722485042,36.43896279601458
Jurema,53.35452980811834,32.865191354360874,62.55259998764286,68.88270791912066,35.24502082481092
Lagoa do Carro,41.92994809909262,10.024539060259244,44.501780872912185,59.58980395312754,24.28038567536987
Lagoa do Itaenga,37.80071374116425,12.766656446704,42.15765102916016,53.69455320385362,22.67636225331649
Lagoa do Ouro,62.676678809075135,47.53853613280239,63.540290467909685,77.55869439288703,38.871458593090225
Lagoa dos Gatos,48.85806919412746,24.79371613306159,57.6963822382738,64.9264938716237,33.68002158994853
Lagoa Grande,46.41807182636005,18.878855570351906,50.25321716151213,66.25681812611639,19.62768399623844
Lajedo,50.554018078829486,25.621171038258595,60.9977531337957,66.49241274419677,28.676680852768495
Limoeiro,40.34944323011604,11.213318140547686,45.88252517338477,55.97113336518708,22.67565000745771
Macaparana,36.099888115312915,13.268701016525721,47.8387790464167,49.03809786514701,20.959761684423835
Machados,45.58556941584527,21.16766898363982,56.69161984260824,61.39731940380071,29.535681243421674
Manari,71.0800097871877,58.97803872715029,75.37427720207276,83.21252433703026,52.53758108256768
Maraial,30.38393399297401,5.328011099631557,34.58689688149702,48.1922453918717,19.444532138850995
Mirandiba,43.50008757013429,17.393692982880975,49.365825800248636,64.56463122651834,22.726510171498976
Moreilandia,42.79998100929133,15.722269038895586,44.301260082135954,65.09587909760238,19.993965933698515
