municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_empregado_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_empregado_com_carteira","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_empregado_sem_carteira","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_trabalhador_domestico_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_trabalhador_domestico_com_carteira","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_por_posicao_na_ocupacao_(%)_trabalhador_domestico_sem_carteira"
Frei Miguelinho,4114.927922710005,27.237648823065125,7.487091260813615,19.75055756225151,3.3305046220528487,0.2923024474771016,3.038202174575747
Gameleira,5432.661618019994,61.010163520326245,33.44950471316678,27.560658807159466,6.792352885665075,2.9441117904246275,3.848241095240447
Garanhuns,41269.84537253993,43.96001336123597,24.197777694933468,19.76223566630251,6.843087682560391,0.9245470681212712,5.918540614439119
Gloria do Goita,10837.788288039977,37.533104581762004,10.35992140019056,27.173183181571442,3.8251723447808215,0.6607445006009686,3.1644278441798535
Goiana,20977.26052516003,52.68450433203405,31.057654683679438,21.62684964835461,10.940951387323686,2.4297953518700064,8.51115603545368
Granito,1198.3444432200013,34.047972788496004,7.250674672177572,26.79729811631843,3.338960866083329,0.0,3.338960866083329
Gravata,22674.119859919923,41.47855848726739,16.225579689967248,25.252978797300145,10.555548557634088,1.8475090650397552,8.708039492594331
Iati,7565.015190450005,18.473762737109144,5.356663094233583,13.117099642875562,3.470076674286023,0.0,3.470076674286023
Ibimirim,6666.148395850007,30.820805319741478,8.376098306746483,22.444707012994993,4.134818866192579,0.14287416982690138,3.9919446963656777
Ibirajuba,2629.6922748699953,12.140590350853255,1.822355812045314,10.318234538807939,2.4987877071376547,0.0,2.4987877071376547
Igarassu,21064.106863189998,63.01320172912321,44.41661594866745,18.596585780455772,7.978495353851839,2.1869890863259474,5.791506267525891
Iguaraci,4304.637421149989,24.382808377844746,3.9679845410619654,20.41482383678278,1.9522800556231055,0.0,1.9522800556231055
Ilha de Itamaraca,4532.414550380008,46.96777776365401,19.99627345570172,26.971504307952298,18.85920410343606,5.0464452767415775,13.812758826694486
Inaja,4165.951499339997,21.585611619637568,6.629108628935125,14.956502990702441,3.800141707484618,0.245937069397548,3.5542046380870698
Ingazeira,2104.805256249999,40.96426945579567,2.2145508256210684,38.7497186301746,3.5198108333306313,0.0,3.5198108333306313
Ipojuca,15425.561519109991,63.20885426550464,45.611455585870566,17.597398679634075,9.790809240162682,3.4992247742249023,6.291584465937778
Ipubi,6912.030143200003,37.78517118663596,6.749131811714403,31.036039374921554,3.801549871545414,0.0,3.801549871545414
Itacuruba,1050.81437591,24.135316475887436,6.241747994092685,17.893568481794752,5.100825447271074,0.0,5.100825447271074
Itaiba,10210.230536699983,19.772971835585114,2.1461094080332286,17.626862427551885,2.2497490100183586,0.15631502024006624,2.0934339897782923
Itambe,8708.39796095001,60.314327036645984,34.32704466131093,25.987282375335063,9.626561637389237,1.098701206571435,8.527860430817801
Itapetim,6123.392227560014,24.568950304192384,7.195107977356524,17.373842326835863,5.121289732977938,0.3049640932023243,4.816325639775614
Itapissuma,6237.782939640002,49.20247101604225,29.152086633924245,20.050384382118008,6.156713768115888,0.8496671604776742,5.307046607638214
Itaquitinga,3857.7374386500005,57.22082798803646,37.993359107480124,19.22746888055634,12.34891242175129,3.8926748817968053,8.456237539954486
Jaboatao dos Guararapes,185262.4899691898,61.562033811451734,42.9208357896647,18.641198021787027,7.837142848249873,2.558943603067419,5.278199245182454
Jaqueira,2211.577842689999,68.71948268985396,53.68553679285641,15.033945896997547,2.7133962002897287,0.946663201080671,1.766732999209058
Jatauba,6879.200816319999,30.293282930862215,3.6530643567464978,26.640218574115714,1.3643712408763333,0.0,1.3643712408763333
Jatoba,3298.2204605200027,45.077709670917336,27.41309860522334,17.664611065693993,7.942084305022503,0.6399238014147901,7.302160503607712
Joao Alfredo,9291.761426930008,27.887722027815254,10.623145314613724,17.264576713201528,3.7588188947442176,0.22591533473040945,3.532903560013808
Joaquim Nabuco,3414.798356329991,66.76604833616946,42.7360961549841,24.02995218118536,5.228845283617247,1.4368313844666318,3.7920138991506147
Jucati,4078.4879364399994,15.890353021019276,1.779676284229897,14.110676736789376,1.914657139777194,0.2787683111286619,1.6358888286485325
Jupi,5728.500464239998,15.718025716341765,2.472686294506436,13.245339421835329,2.31391552392212,0.0,2.31391552392212
Jurema,5595.2895408599925,13.734504797617392,1.4841906077167202,12.250314189900672,2.6341407856320975,0.10824101140383764,2.52589977422826
Lagoa do Carro,4375.390084089996,52.51928306497335,22.30026251368929,30.21902055128406,6.53026295572971,1.3947350194420929,5.135527936287617
Lagoa do Itaenga,5897.289350879998,56.789631499940796,27.42944918038694,29.360182319553857,6.492426301634103,2.31263547581651,4.179790825817593
Lagoa do Ouro,5460.571925360004,12.507060022379877,1.1663962608788627,11.34066376150101,1.8966631258715991,0.0,1.8966631258715991
