municipio,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_aposentadas_por_sexo_feminino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_total,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_masculino,pessoas_de_60_anos_ou_mais_de_idade_(%)_pensionistas_por_sexo_feminino
Belo Jardim,75.9918979440432,79.661460887114,72.9997248392298,9.1054479656036,6.86012863405143,10.9362883735259
Betania,87.4217802935317,85.9756928876692,88.7927777336683,3.54885302226443,1.82775192569818,5.18058371021776
Bezerros,75.7675902158551,75.7707028914093,75.7650114713859,12.106369850787,12.4373068149483,11.8321999762855
Bodoco,82.1623407002635,80.716871431468,83.4904059822393,9.41977847763333,9.57092610462287,9.28090737176393
Bom Conselho,86.104765640251,86.1773657338011,86.0499069448632,5.43125295686851,3.15053109417527,7.1546312586278
Bom Jardim,86.1212779784336,83.0711331988528,88.8177349466105,9.86493149959053,9.2702861665891,10.3906231200342
Bonito,81.2569128425356,78.8244720841925,83.569968528673,6.94629343690869,5.71088545940026,8.12106714404791
Brejao,83.1429136974422,82.1819688448815,83.9496626033839,3.39413540608417,1.29650481671642,5.15517421963612
Brejinho,87.6500612735692,86.6549648187933,88.7207804587013,5.6319183295291,5.09670863154755,6.20780149034967
Brejo da Madre de Deus,79.5989753746118,83.2443037111998,76.0700109209536,7.95826442639402,5.00825201810952,10.8141083903512
Buenos Aires,71.2448130466257,71.1308101255505,71.3601028784638,13.3312876900442,11.5483840695884,15.1343174426815
Buique,74.6339804064251,73.4915384141978,75.6153971753002,15.4196247046586,14.6631146851087,16.0695059450713
Cabo de Santo Agostinho,61.0536517704793,72.3321985396579,51.2317594176932,12.4115389294328,5.47363669404156,18.4533925746547
Cabrobo,82.61693715311,81.9488377415515,83.144030658715,8.01192556906334,6.11280090107921,9.51022995537244
Cachoeirinha,85.6345331386361,84.8671947261655,86.2322450859813,9.89686835965189,9.09591936778767,10.5207609914699
Caetes,84.3495306346561,85.6728493311478,83.211940878052,6.94069473714856,3.33239051096941,10.0425702999247
Calcado,88.114287511496,85.7424460265538,89.9968556846995,2.72979246295774,1.13949777618901,3.99203455726797
Calumbi,89.8836583661538,94.280039814191,86.2679155051821,3.6992914033829,1.48917842740859,5.5169681244027
Camaragibe,68.0284385858055,79.6686014732156,58.5590704403763,9.56308360794609,2.72492615058032,15.1259808823686
Camocim de Sao Felix,75.9442123072731,71.3330106209639,79.4095721259617,14.5313277704875,13.3580517464515,15.4130553258007
Camutanga,74.323539068077,74.6862285565055,73.9750891207881,4.67393575344267,1.20325545667292,8.00835377505677
Canhotinho,81.6930053018792,80.6919111746204,82.5184688804819,4.66927189152113,3.62809770452327,5.52778394043428
Capoeiras,74.6819644772313,87.360135427976,63.131568263826,15.8621626586366,4.36106144210688,26.3401942656796
Carnaiba,81.8357887268622,82.3450921390887,81.3834361754469,12.7220680183255,12.093250147482,13.2805707917665
Carnaubeira da Penha,92.9156508429201,90.5699517837543,95.0433657471743,5.13183079364965,6.16079294891227,4.19848936389082
Carpina,63.4264219859263,73.3266550323638,55.5546080227651,12.5031860934268,6.19469836337567,17.5191530476307
