municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_contribui_por_sexo_feminino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_masculino","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia,_por_contribuicao_para_instituto_de_previdencia_(%)_(1)_nao_contribui_por_sexo_feminino"
Belem de Sao Francisco,20.6748720785507,14.1438032166509,29.8701298701299,57.3917853685521,68.5903500473037,41.6250416250416
Belo Jardim,29.0987832542792,29.7275852948955,28.0561341958119,53.7636626108476,55.5210261835493,50.8496875342616
Betania,13.6980004596644,8.68528610354224,24.0989399293286,47.230521719145,57.6634877384196,25.5830388692579
Bezerros,24.3611978263383,21.290151314043,30.1484075371019,66.250433576136,70.6751614901336,57.9122894780724
Bodoco,14.2182042325868,8.27122607043694,28.2947077135939,56.7495377028971,64.1969896244337,39.121411276375
Bom Conselho,12.9836904381196,10.8534980257163,16.6377214310524,49.7601535017589,57.9730687455705,35.6721083709621
Bom Jardim,19.9442473390776,19.3213572854291,21.0270645385149,35.6310187531678,42.1157684630739,24.3580846634282
Bonito,23.1349833245568,19.2658195353613,31.5015265056897,62.9454098648411,69.0540367090232,49.7363308354149
Brejao,12.7470638785448,8.47382431233363,20.53354890865,60.1833285591521,67.2582076308784,47.2918350848828
Brejinho,9.04128283862163,9.76394849785408,7.7788191190253,34.1521664960764,35.7296137339056,31.3964386129335
Brejo da Madre de Deus,10.1189643107068,7.52025562022139,14.2391894336892,81.035689293212,84.7198448020085,75.194499728605
Buenos Aires,42.0655642587757,44.5048056832428,36.5275142314991,48.4189149985495,46.9285415796072,51.8026565464896
Buique,11.1727581663083,7.70529871226515,17.8159757330637,47.416603093141,55.8475828583492,31.2639029322548
Cabo de Santo Agostinho,56.6693160035532,61.7484414074883,46.6462778897616,40.1000514283043,35.8000774893452,48.5855286022103
Cabrobo,13.7890161991308,8.96562403220811,22.2858701582106,70.644014223627,77.3304428615671,58.8652482269504
Cachoeirinha,16.0814170292107,11.9009401513414,24.8674698795181,68.0546923555003,75.6248566842467,52.144578313253
Caetes,6.62188099808061,3.76442015786278,11.5344467640919,35.6429942418426,47.2222222222222,15.7359081419624
