municipio,numero_medio_de_moradores_por_domicilio_particular_permanente_total,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_ate_um_quarto,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_um_quarto_a_meio,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_meio_a_um,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_um_a_dois,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_de_2_a_3,numero_medio_de_moradores_por_domicilio_particular_permanente_classes_de_salario_minimo_mais_de_3
Camaragibe,3.88310722912634,4.47499124201382,4.34221433376089,3.8090239951937,3.42818286736731,3.28099046287657,3.1156629591419
Camocim de Sao Felix,3.673139974733,4.75047080112467,3.88618296422989,3.10806909716727,2.92567599746738,3.01338733607416,3.19235085982682
Camutanga,4.11919081449516,4.75894110028214,4.39756702145984,3.20541483933144,3.58665829638606,3.14248605199309,3.25450011837807
Canhotinho,3.96730515190235,5.03168005997177,3.95544967385828,3.1037100544151,3.05202797366661,2.48165027473191,2.5131351035925
Capoeiras,4.35451051334446,5.87216800611308,4.34044604309161,3.05338878723464,3.25078690751898,4.25523350891747,4.22353423006024
Carnaiba,3.95009706953552,4.89237780241961,4.15359397203525,2.91867049086648,2.78785455587113,3.13944477395561,1.94956364188651
Carnaubeira da Penha,4.89548577045919,5.6879712630601,4.50719811505238,2.92154258389849,3.98231758207395,2.97262119271322,2.86227489629208
Carpina,4.02991507980207,4.74161738291637,4.43953147774302,3.80333270431847,3.39025830151119,3.25087226901557,3.122820191672
Caruaru,3.643367011988,4.42007902068068,4.07925819184978,3.5395564499326,3.33992449217516,3.4279364968793,3.07478100808822
Casinhas,4.21648815314227,5.23401185273425,4.36661665677202,3.2396300752929,3.0993976999774,2.94914617723354,3.16711582707725
Catende,4.0866435616515,5.28138111800958,4.11212214002379,3.1717789497581,3.59080650481487,3.59078263211128,3.20484414685958
Cedro,4.54447702850348,5.44010160137154,4.50944594348763,3.69532902324353,3.84269548929427,3.61495389928347,3.43987184609367
Cha de Alegria,4.30858283429694,5.22936143844169,4.16509850668229,3.38447849623765,2.82438543050052,3.8213226847625,2.5446849488902
Cha Grande,3.93160733554173,5.11917088687354,4.34428615841857,3.2590552489895,3.33216655706007,2.92785979234742,3.24956483973476
Condado,4.13003274900454,4.78561236910928,4.22681650079746,3.35379020175977,3.79709616860112,3.40776177442423,3.16856687741284
Correntes,4.14282159750507,5.19330242976007,3.91149701084693,3.13905042839408,3.21133473391078,3.37444145841818,3.09330599973938
Cortes,4.25182101983006,4.9772371039288,4.3332592863385,3.4437349176906,3.36434424484224,3.98371222629908,2.75587037081891
Cumaru,4.52699854074423,5.31242696110836,4.35216041447559,3.14552806898272,3.39192613336037,5.99001858272132,3.50732407633912
Cupira,3.5719850673418,4.42528264504221,3.79397895207363,2.79913358021835,2.96279741985959,3.8081611973082,3.23263928010974
Custodia,3.85134258654214,4.6408543720302,4.13259307249004,3.14770523926249,3.27287853907327,3.15897653296526,3.09981171139904
Dormentes,4.30241812069212,5.19715663208212,4.41639804361136,3.10995659534307,2.95077977393657,2.58503871226501,3.71411013248131
Escada,4.11196487381625,5.01820639479953,4.48779013373399,3.42390476383581,3.31540790657655,2.96502576779181,3.01689625010196
Exu,4.51683477768653,5.37003032543811,4.56236149909445,3.04876369639108,3.29815665861903,3.61677913502264,3.17595951072468
Feira Nova,3.90420168072149,4.7465323131753,4.44769248864327,2.94364124925894,3.25108726596372,3.06759242822787,3.3637452345116
Fernando de Noronha,3.90719366503605,-,4.84341167709939,5.42887526678291,4.58697900954816,4.10417882060317,3.04056412311988
Ferreiros,4.26346074818786,5.06972224111032,4.66708157675045,3.40091362305518,3.21797606182758,3.17920381413987,2.78440954021019
Flores,3.7467008798066,4.62971336593597,3.89883480670098,2.82226794802501,2.68868781907296,3.21723656120721,2.05443515382848
Floresta,4.57535795024651,5.45630452655135,4.89043028204835,4.13860767528289,3.48568765107789,3.43848582286337,3.50643142383282
Frei Miguelinho,3.4631317314511,4.60465138584968,3.65987688240682,2.52171850187305,2.82507869511785,2.83907467846733,3.48320705171789
Gameleira,4.6217272373104,5.68812428758126,4.49993953804884,3.98644475548436,3.17139068721094,3.04009513390241,3.01246676748076
Garanhuns,3.89375421666841,4.99270068253407,4.20062586423865,3.49978444932273,3.5128793836544,3.29257051925525,3.06163243573526
Gloria do Goita,4.18254702441819,5.10414456586378,4.51868401488584,3.21781850825088,3.04127309916328,2.70394678743984,4.58100955712992
Goiana,4.08079879306121,4.72192730625188,4.51222393403699,3.70952875737626,3.53775627006104,3.34193722783761,3.02968974918732
Granito,4.52137404604313,5.58379695981888,4.09449327770422,3.21860068258635,3.03783487221059,3.14954059698513,1.9440868700794
Gravata,3.67139585546989,4.60065672600873,4.13517892428649,3.24269281041478,3.11730037488526,3.18438053205366,2.75454999376912
Iati,4.45417201548441,5.52184772499941,4.15619321392824,2.88135238114702,3.19657592844629,1.99139874697599,2.3259996683983
Ibimirim,4.37062043790835,5.24954362466318,4.48237496415835,3.05857723445152,2.97637956267037,3.64752394768313,2.77100750165477
Ibirajuba,3.74466978686936,4.77622940057401,3.95002402563751,2.52586104024365,2.92471867155906,-,1.92282864839269
Igarassu,4.00837909902211,4.69921136971434,4.22975774552962,3.85235831997449,3.4820389368387,2.94966953254646,3.22462282212652
Iguaraci,3.82610181067542,4.82189056605492,4.08896765648408,2.78067494693504,2.81077025637606,2.6925597592844,2.24937290058009
Ilha de Itamaraca,3.78995057660626,4.66425554540755,3.89613736984994,3.55153621911852,3.59779263950332,4.39163258758579,2.52404969700269
Inaja,4.44984671005021,5.4837253033743,4.39411561474728,2.7914340833077,2.72483954972228,3.5506364067662,3.34162818459276
Ingazeira,3.90392171666157,4.54316052595303,4.46260997502793,2.94896854878007,3.01521044304561,6.00487665606231,2.64249450178056
Ipojuca,4.31071093436427,5.21654392759423,4.66318399037511,3.97169211842202,3.26533893665208,2.56829352251787,2.7060102964684
Ipubi,4.43298563271456,5.39588627328105,4.35075780285197,3.07249158346585,3.37717420317396,5.19506467148996,4.36758561628547
Itacuruba,4.32030172251461,4.79763353727668,4.98050492367438,3.58179596835157,3.72253790995712,3.53209162743548,3.66713455287176
Itaiba,4.21417971963373,5.24642429168796,4.25132547803518,2.82347252980658,3.23580719449356,2.89117710836282,3.32750666845013
Itambe,4.36941460730827,5.30929497828979,4.6262256885645,3.28696117961955,3.19458412817949,3.49712459810735,2.75270538745472
Itapetim,3.613,4.38374556370168,3.95531866678646,2.77166715955378,2.9171780145391,5.02734304646112,2.89001923886184
Itapissuma,4.14377727970259,4.86069750236149,4.72447801612062,3.68327562695457,3.39671761545878,2.886306328514,3.24582781527157
Itaquitinga,4.3350193394565,5.0865984906027,4.80770862773999,3.2868334075487,2.93001719010513,3.06846729676537,3.43895696659882
Jaboatao dos Guararapes,3.78187234464858,4.39662097257734,4.29117322298182,3.80217228818315,3.46442597704437,3.24397830166757,3.0421397503076
Jaqueira,4.54527243607954,5.48100874511714,4.62789364651375,3.15318821973942,3.25890528441454,3.06904077663697,2.37384520205894
Jatauba,3.80326144135666,4.98226674559536,4.0283787240422,2.61201635569989,2.80136014794043,2.63769701833174,2.86018565261317
Jatoba,4.20840170667952,4.96354662677495,4.40471452026314,3.68840481945965,3.54390916208966,3.43704880062575,2.76380852648157
Joao Alfredo,3.86565874732248,4.82275171724798,4.14265079589052,3.01909664546095,3.24974791665779,3.02547383972232,2.94511599005334
Joaquim Nabuco,4.27186364894463,5.18556962904301,4.44735252734115,3.2805038362768,3.139130771741,3.33135278213537,2.73347545781101
Jucati,4.02299829623402,5.06452764298622,4.03702209453066,2.54165692365003,2.5375453110914,3.89546843727538,3.8201179583122
Jupi,3.88158750794332,5.18248189789238,3.95473122685296,2.62101713538438,3.2343801608788,2.96068945712035,2.9226522158009
Jurema,3.82251579551981,4.96127766076444,3.77674678795055,2.63542998757506,2.96812218493758,1.92043934547775,2.66886741616143
Lagoa do Carro,4.04043298321644,4.89058274139752,4.41756116312099,3.52699977957346,3.07342616378487,3.68468226672794,3.74242115985751
Lagoa do Itaenga,4.4543016759677,5.4486423900058,4.68830149501465,3.61542666134931,3.64950175008827,3.34138174317166,2.60596472569469
Lagoa do Ouro,4.11795446065037,4.99214373663521,3.80330549909916,2.742630705277,3.16064254578152,4.20643219143065,3.15622650618624
Lagoa dos Gatos,3.74488567999386,4.83509218162724,3.63846050789564,2.38094796231479,2.94152661877276,3.67032391086006,2.95404614610301
Lagoa Grande,4.31134371948761,5.07808382892871,4.66806357318563,3.81852800405884,2.98094297971535,4.02495749383486,3.06399739466777
Lajedo,3.76141245912983,4.67493063018509,4.22931105372503,3.08382854347235,3.1257577685063,3.16493377486508,3.15946096168673
Limoeiro,3.84413869775984,4.50677007644903,4.22280916258502,3.39335272475205,3.48950035831919,3.17662072595981,2.99481769695638
Macaparana,4.22637908010617,5.24640201980657,4.14214979726582,3.21932630903477,3.51530030709007,3.71844150844906,2.58277270018488
Machados,4.0258365098511,5.326755255631,4.05884397634469,3.15443293002113,2.90075200367056,3.4556892235747,3.88910354628734
Manari,4.5076923076278,5.27612236007284,3.82446852814815,2.30693359093517,2.73206749931548,1.88640461674139,2.03559076824746
Maraial,4.70750332016253,5.91898492755708,4.42939100015713,3.39444826190717,2.88331892648943,2.92828367457872,3.22130166238385
Mirandiba,4.55306267806268,5.5644878137754,4.31707891095378,3.41959378748599,3.28566997492771,3.07301626265316,2.90207185097248
Moreilandia,4.22579380646641,5.3701078232546,3.97407248356969,2.66320325404348,3.2638651164522,3.03766839329437,3.8082504445636
Moreno,3.97725212231761,4.85364742023806,4.34083103333268,3.42683208046371,3.35957995604473,3.02498275794844,3.32327246710985
Nazare da Mata,4.1016487455256,4.91101492317333,4.50483920169495,3.61722499051183,3.3318085651025,3.67194514138733,3.15402921612185
Olinda,3.83203412648951,4.54262145421192,4.32112353043588,3.95524458307512,3.64753924030579,3.42485627004657,3.11623275038601
Orobo,4.26491600693468,5.57102909022631,4.36858020309097,3.09571843596444,2.79926298536783,3.8655362387945,2.93163009942243
Oroco,4.62210338687107,5.38716054307386,4.86298943046819,3.91338928188118,4.08503649258189,4.71526413428802,3.32390054157786
Ouricuri,4.43466815567972,5.26501511095212,4.51511579125662,3.46134406815397,3.39906724235211,3.28305623798282,3.40818713495313
Palmares,4.11459909238089,5.26146665438772,4.24106936535135,3.58555377488324,3.61553059989004,3.41188885585859,3.1682320318857
Palmeirina,3.98808810595044,5.20698023504407,4.04337993442363,3.08770942599201,2.65724508806005,3.07378051617519,1.90605325572777
Panelas,4.170434529844,5.53856600811876,4.13926405251895,2.89243823325488,2.76463085938796,2.53778493228283,3.58642690029243
Paranatama,4.09538825381083,5.62260565934047,4.58252497359121,2.75069050512016,2.57060755570199,3.35674470979407,2.34485385117832
Parnamirim,4.54078443708679,5.67007055706568,4.46455396528848,3.54397211632476,3.38324590761298,3.8853466970391,4.46974227204637
Passira,3.94544952349199,4.85948731875619,4.18115177636136,3.09566372089839,3.03864125853877,3.18214227868184,3.51517292036121
Paudalho,4.16897974488932,5.11624261090512,4.23543584122775,3.56537087650154,3.41664118678434,3.59699571453818,3.56157284492757
Paulista,3.78332897569647,4.28309005022445,4.18612412912327,3.98753294987116,3.59132317920524,3.41457633399147,3.05739129218139
Pedra,4.12902555578641,5.00425184730149,4.36686399280424,2.93868128017782,3.51144866408432,3.60695047747183,2.85403501068868
Pesqueira,3.77582637729045,4.57189838872199,3.99673102888647,3.16604122117884,3.40447121007643,3.16193323593569,2.99368820215242
Petrolandia,4.35142246346071,5.39679611649551,4.68631773433021,4.06995746300189,3.2948185430573,3.35477416853124,2.94831764835722
Petrolina,4.19635939603037,4.97864383403843,4.63418634668692,4.09051883964473,3.6882027082603,3.69520551689334,3.42033206453836
Pocao,3.51926845207261,4.30298713578536,3.77100432048778,2.84780864252538,2.23943840169424,2.72020154793333,2.90765888455148
Pombos,3.92676249143078,4.58610206276059,4.42997461667472,3.37439589859666,3.12904066577794,3.54232243140662,2.89265131704699
Primavera,4.09587200791137,5.11003549548687,4.59531872609085,3.16980778611785,2.69798360219967,2.46783650981556,3.17095140278159
Quipapa,4.64657090832705,6.012137347735,4.39313987431091,3.33337313844919,3.15933114630007,3.17657554991987,2.90430854793357
Quixaba,4.26020408174133,5.03725198716544,4.2638797938503,2.65821018310308,3.43155847839927,2.69837985233806,5.68122616214093
Recife,3.68672571243065,4.38736767698598,4.31868599822108,3.82633346629888,3.57552747589239,3.38039865702051,3.04167623015859
Riacho das Almas,3.58763725094419,4.73016707782929,3.6756991189465,2.85650892051693,2.54217638536145,3.16474907531373,2.76816921996205
Ribeirao,4.25158474490856,5.15224845708529,4.55766707672387,3.42361824536669,3.80754424904239,3.18412832560689,3.25316524286963
Rio Formoso,4.6743041842716,5.68100806297779,4.79528348967897,3.96234853763267,3.36778046846059,3.58166648646427,2.67877243237197
Saire,3.67346938766268,4.4123249559344,4.13035321875189,3.05635213301,2.7996731115932,2.66493205327,2.49569187782818
Salgadinho,4.29707893109317,5.62193492411279,4.68360520652491,3.25515607464545,2.90659241787287,3.95853469454674,4.67013418617701
