municipio,populacao_total,populacao_sexo_(%)_masculino,populacao_sexo_(%)_feminino,populacao_situacao_do_domicilio_(%)_urbana,populacao_situacao_do_domicilio_(%)_rural,populacao_proporcao_de_pessoas_naturais_dos_municipios_(%)
Jaqueira,11652.99999964,50.3990388742934,49.6009611257062,50.6650647896025,49.3349352103971,80.7001164738737
Jatauba,14653.00000019,49.5461680203088,50.453831979691,45.2330580762578,54.7669419237421,87.987928399801
Jatoba,13147.99999966,49.0112564645316,50.9887435354681,41.16215393961,58.8378460603896,64.1943036130836
Joao Alfredo,27315.8516989099,48.5973680468099,51.4026319531907,37.6923996854942,62.3076003145062,89.1731141632756
Joaquim Nabuco,15925.0000005999,50.216640502598,49.7833594974024,60.3893249611783,39.6106750388217,71.0997960395191
Jucati,9695.00000047998,49.7266632282757,50.2733367717246,23.4863331604669,76.5136668395329,77.7806665585005
Jupi,12329.00000069,48.6576364662523,51.3423635337474,46.921891474947,53.0781085250525,74.2616017306968
Jurema,13740.99999979,49.3923295245885,50.6076704754112,55.5563641659753,44.4436358340245,85.0914807322514
Lagoa do Carro,13109.9999998401,49.885583524636,50.1144164753634,61.6857360795473,38.3142639204522,72.0618777946246
Lagoa do Itaenga,20172.0000002599,49.9851278999112,50.0148721000893,76.0707911949845,23.9292088050159,79.5599934336366
Lagoa do Ouro,11323.62306982,50.1411653404698,49.8588346595307,40.1638236427301,59.8361763572702,88.6785489008654
Lagoa dos Gatos,16099.9999996098,49.7577639746222,50.2422360253793,46.3354037280174,53.6645962719841,84.9426534701945
Lagoa Grande,19137.0000004299,50.6505721897489,49.3494278102515,45.2056226161135,54.7943773838867,53.0640538513449
Lajedo,32209.0000001299,47.797199540774,52.2028004592264,69.9524977488559,30.047502251144,68.5039748321927
Limoeiro,56322.0000006596,47.5799865059585,52.4200134940415,75.3027236251254,24.6972763748751,84.4423758254902
Macaparana,22493.9999990699,48.6574197566131,51.3425802433873,60.0960256073569,39.9039743926432,83.4783049152948
Machados,9826.00000036002,48.7278648494257,51.2721351505741,55.7093425593267,44.2906574406731,73.7060188896261
Manari,13028.00000005,49.355234878917,50.6447651210827,17.55449800331,82.4455019966899,92.6887635661932
Maraial,14706.17029396,51.714947318906,48.2850526810942,53.970543257274,46.0294567427267,81.6497721621763
Mirandiba,13121.9999996999,49.7256515772688,50.2743484227318,48.5825331511642,51.4174668488361,82.4158305551538
Moreilandia,11115.9999996001,50.2518891682348,49.7481108317647,50.2518891685947,49.7481108314049,86.480147518675
Moreno,49205.0000001103,49.2409307998083,50.759069200191,77.8254242454311,22.1745757545688,78.4847337587309
Nazare da Mata,29254.0000001901,48.7454707053643,51.2545292946349,84.4465714073958,15.5534285926042,76.8806118515893
Olinda,367902.000000938,46.8198052742169,53.1801947257802,98.0027289876292,1.99727101237048,58.2291130750103
Orobo,22475.0000001999,48.5472747500464,51.4527252499538,24.8587319247621,75.141268075238,84.2550755787829
Oroco,10824.99999971,49.9953810626785,50.0046189373209,33.006928405965,66.9930715940346,66.5824459163329
Ouricuri,56733.0000006402,49.7118079425762,50.2881920574236,46.9003930690422,53.0996069309573,75.4702744555143
Palmares,55789.9999985504,48.1950170280851,51.8049829719143,77.8849256136927,22.1150743863068,69.8206814081598
Palmeirina,9536.00000044,49.4546979868121,50.5453020131879,50.2307046956689,49.7692953043312,87.1279835077249
Panelas,25873.9999992498,49.7062688413189,50.2937311586817,37.2609169779297,62.7390830220709,91.1452796082305
Paranatama,10762.97615829,50.2904350819443,49.7095649180552,15.3024588726922,84.6975411273078,87.3705661498374
Parnamirim,19289.00000019,50.3810461929302,49.6189538070701,37.9646430590381,62.0353569409622,82.1262531777903
Passira,29132.0000005801,49.2207881366692,50.7792118633303,42.310860909531,57.6891390904686,85.657750455249
Paudalho,45138.0000004104,49.6255926270911,50.3744073729081,77.9614795149108,22.0385204850892,79.9039886117513
Paulista,262237.000000277,47.6702372280262,52.3297627719754,100,0,41.0151547498856
Pedra,20244.0000002001,50.41493775948,49.5850622405196,50.7162616079755,49.2837383920242,80.9339898664201
Pesqueira,57720.9999999696,48.2424074426721,51.757592557329,71.0157481682254,28.984251831775,79.745204806681
Petrolandia,27319.9999998099,49.2423133238055,50.7576866761952,71.7386530003896,28.2613469996109,56.6698266843623
Petrolina,218537.999998842,48.783735551673,51.2162644483261,76.0869963119058,23.9130036880939,54.4422317178755
Pocao,11177.99999969,47.521918053653,52.4780819463472,56.8885310421037,43.1114689578963,77.7700942073812
Pombos,23729.7586564199,49.2503955439859,50.7496044560148,58.9091537023619,41.090846297638,76.0231447704143
Primavera,11476.99999976,51.4507275416355,48.5492724583649,57.8635531915037,42.1364468084965,70.6090530072274
