municipio,"pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_total","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_ate_14_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_15_a_29_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_30_a_39_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_40_a_44_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_45_a_48_horas","pessoas_de_10_anos_ou_mais_de_idade,_ocupadas_na_semana_de_referencia_grupos_de_horas_habitualmente_trabalhadas_por_semana_em_todos_os_trabalhos_49_horas_ou_mais",codigo
Canhotinho,9358.0,404.0,1880.0,1137.0,3104.0,909.0,1924.0,2603702.0
Capoeiras,7454.0,317.0,1346.0,1532.0,2064.0,869.0,1326.0,2603801.0
Carnaiba,6645.0,240.0,1542.0,1300.0,2363.0,780.0,420.0,2603900.0
Carnaubeira da Penha,3286.0,183.0,833.0,619.0,1089.0,367.0,195.0,2603926.0
Carpina,18133.0,639.0,1877.0,1668.0,4489.0,3650.0,5810.0,2604007.0
Caruaru,99033.0,5017.0,9831.0,8949.0,32532.0,17535.0,25169.0,2604106.0
Casinhas,4813.0,236.0,1368.0,994.0,947.0,330.0,937.0,2604155.0
Catende,7241.0,282.0,741.0,795.0,1795.0,1318.0,2311.0,2604205.0
Cedro,3222.0,103.0,712.0,421.0,1131.0,280.0,575.0,2604304.0
Cha de Alegria,2696.0,113.0,450.0,473.0,371.0,476.0,813.0,2604403.0
Cha Grande,6432.0,252.0,1023.0,671.0,1364.0,1204.0,1918.0,2604502.0
Condado,5700.0,278.0,678.0,714.0,1052.0,738.0,2240.0,2604601.0
Correntes,6828.0,373.0,1635.0,978.0,2704.0,339.0,799.0,2604700.0
Cortes,3167.0,113.0,378.0,350.0,755.0,755.0,816.0,2604809.0
Cumaru,7237.0,129.0,1298.0,1522.0,1965.0,540.0,1781.0,2604908.0
Cupira,7899.0,424.0,1247.0,1127.0,1195.0,2133.0,1773.0,2605004.0
Custodia,9538.0,508.0,2045.0,1244.0,2012.0,1218.0,2510.0,2605103.0
Dormentes,7149.0,619.0,1346.0,1237.0,1537.0,1459.0,951.0,2605152.0
Escada,13834.0,527.0,1343.0,1373.0,3581.0,2500.0,4510.0,2605202.0
Exu,10752.0,633.0,2281.0,1474.0,4171.0,791.0,1402.0,2605301.0
Feira Nova,7341.0,516.0,1299.0,895.0,1282.0,792.0,2558.0,2605400.0
Fernando de Noronha,1158.0,14.0,53.0,194.0,206.0,273.0,419.0,2605459.0
Ferreiros,3037.0,154.0,452.0,324.0,779.0,395.0,933.0,2605509.0
Flores,7923.0,692.0,2713.0,1278.0,1329.0,728.0,1182.0,2605608.0
Floresta,8016.0,268.0,1142.0,1207.0,2076.0,1125.0,2198.0,2605707.0
