municipio;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_com_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_trabalhadores_domesticos_sem_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_total;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_com_carteira_assinada;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_militares_e_funcionarios_publicos;pessoas_de_10_anos_ou_mais_empregadas_no_trabalho_principal_demais_empregados_outros_sem_carteira_assinada;codigo_unidade_geografica
Paudalho;  8 969;  1 694;   671;  1 023;  7 275;  4 229;   425;  2 620;2610608
Paulista;  65 258;  5 672;  1 716;  3 956;  59 586;  39 386;  5 210;  14 990;2610707
Pedra;  3 384;   386;-;   386;  2 998;   170;   454;  2 374;2610806
Pesqueira;  9 275;  1 071;   134;   937;  8 204;  3 120;   715;  4 369;2610905
Petrolândia;  4 644;   403;   40;   364;  4 241;   830;  1 019;  2 392;2611002
Petrolina;  49 522;  4 747;   867;  3 880;  44 775;  22 462;  4 606;  17 706;2611101
Poção;  1 881;   143;-;   143;  1 738;   288;   284;  1 166;2611200
Pombos;  4 100;   532;   131;   401;  3 569;  1 108;   263;  2 197;2611309
Primavera;  2 031;   213;   48;   165;  1 818;   846;   144;   828;2611408
Quipapá;  3 173;   255;   40;   215;  2 917;  1 001;   268;  1 648;2611507
Quixaba;   495;   41;   12;   29;   454;   81;   270;   103;2611533
Recife;  368 903;  43 259;  17 711;  25 548;  325 644;  207 340;  34 843;  83 461;2611606
Riacho das Almas;  2 785;   217;   30;   188;  2 567;   327;   268;  1 972;2611705
Ribeirão;  7 097;   571;   143;   428;  6 526;  3 839;   230;  2 457;2611804
Rio Formoso;  3 646;   265;   49;   216;  3 381;  2 066;   298;  1 016;2611903
Sairé;  2 772;   294;   16;   278;  2 478;   233;   394;  1 851;2612000
Salgadinho;   866;   102;   33;   70;   764;   213;   51;   500;2612109
Salgueiro;  9 423;  1 059;   51;  1 007;  8 364;  3 236;  1 250;  3 878;2612208
Saloá;  1 743;   139;   12;   126;  1 605;   135;   363;  1 108;2612307
Sanharó;  3 136;   237;-;   237;  2 899;   697;   252;  1 951;2612406
Santa Cruz;   726;   107;   12;   95;   619;   50;   289;   280;2612455
Santa Cruz da Baixa Verde;  1 261;   117;   6;   111;  1 144;   134;   296;   714;2612471
Santa Cruz do Capibaribe;  18 250;  1 289;   43;  1 246;  16 962;  2 047;   386;  14 528;2612505
Santa Filomena;   780;   71;   4;   67;   709;   43;   242;   424;2612554
Santa Maria da Boa Vista;  4 829;   302;-;   302;  4 527;   966;   546;  3 015;2612604
Santa Maria do Cambucá;  1 338;   166;   9;   157;  1 172;   141;   137;   895;2612703
Santa Terezinha;  1 532;   226;   1;   225;  1 306;   252;   306;   749;2612802
São Benedito do Sul;  1 593;   54;   5;   49;  1 539;   576;   128;   834;2612901
São Bento do Una;  6 644;   740;   38;   702;  5 904;  1 853;   408;  3 643;2613008
São Caitano;  4 896;   458;   57;   401;  4 438;  1 757;   650;  2 031;2613107
São João;  2 563;   186;   19;   167;  2 377;   299;   306;  1 773;2613206
São Joaquim do Monte;  3 264;   259;   24;   235;  3 006;   262;   358;  2 385;2613305
São José da Coroa Grande;  2 334;   310;   74;   236;  2 024;   756;   309;   959;2613404
São José do Belmonte;  4 344;   357;   5;   353;  3 986;   425;  1 221;  2 340;2613503
São José do Egito;  4 659;   544;   27;   516;  4 115;  1 071;   555;  2 489;2613602
São Lourenço da Mata;  19 115;  2 707;   921;  1 786;  16 408;  8 877;  1 954;  5 577;2613701
São Vicente Ferrer;  2 961;   237;   22;   214;  2 724;   771;   149;  1 804;2613800
Serra Talhada;  12 981;  1 679;   234;  1 445;  11 302;  4 416;   984;  5 902;2613909
Serrita;  2 544;   293;   13;   279;  2 251;   305;   426;  1 520;2614006
Sertânia;  4 477;   389;   24;   364;  4 089;   999;   685;  2 404;2614105
Sirinhaém;  6 421;  1 032;   381;   650;  5 389;  3 555;   178;  1 656;2614204
Solidão;   533;   16;-;   16;   517;   81;   236;   200;2614402
Surubim;  8 954;   878;   96;   782;  8 076;  3 024;   461;  4 591;2614501
Tabira;  3 513;   494;   27;   467;  3 020;   597;   306;  2 116;2614600
Tacaimbó;  1 285;   112;   13;   99;  1 173;   374;   41;   758;2614709
Tacaratu;  2 392;   167;-;   167;  2 225;   279;   347;  1 600;2614808
Tamandaré;  2 840;   814;   276;   538;  2 026;   796;   130;  1 100;2614857
Taquaritinga do Norte;  4 618;   312;   13;   300;  4 305;  1 035;   142;  3 128;2615003
Terezinha;   615;   31;   2;   29;   583;   84;   90;   410;2615102
Terra Nova;   890;   124;-;   124;   766;   93;   289;   384;2615201
Timbaúba;  10 925;  1 599;   218;  1 381;  9 325;  4 909;   556;  3 860;2615300
Toritama;  7 574;   403;-;   403;  7 171;   787;   117;  6 267;2615409
Tracunhaém;  2 780;   544;   211;   333;  2 236;  1 250;   126;   861;2615508
Trindade;  3 690;   320;   11;   308;  3 371;   990;   457;  1 924;2615607
Triunfo;  2 414;   350;   14;   336;  2 065;   442;   505;  1 117;2615706
Tupanatinga;  1 618;   282;   16;   266;  1 336;   203;   391;   742;2615805
Tuparetama;  1 131;   159;-;   159;   972;   247;   274;   451;2615904
Venturosa;  2 581;   322;   3;   319;  2 259;   167;   453;  1 639;2616001
Verdejante;  1 251;   113;   4;   108;  1 139;   187;   180;   772;2616100
Vertente do Lério;   703;   65;   9;   56;   638;   278;   80;   280;2616183
Vertentes;  3 014;   139;   9;   130;  2 875;   417;   71;  2 388;2616209
Vicência;  5 741;   616;   106;   509;  5 125;  2 054;   773;  2 299;2616308
Vitória de Santo Antão;  21 342;  2 781;   709;  2 072;  18 561;  8 442;  1 418;  8 700;2616407
Xexéu;  2 292;   170;   18;   152;  2 121;   857;   350;   914;2616506
