municipios;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_total;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_em_pelo_menos_um_comodo;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_pela_rede_geral_so_na_propriedade_ou_terreno;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_total;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_em_pelo_menos_um_comodo;domicilios_particulares_permanentes_urbanos_com_agua_canalizada_por_poco_ou_nascente_so_na_propriedade_ou_terreno;domicilios_particulares_permanentes_urbanos_com_agua_nao_canalizada_por_poco_ou_nascente_;domicilios_particulares_permanentes_urbanos_com_outra_forma_de_abastecimento_de_agua;
Jaboatão dos Guararapes;80,5;70,3;10,3;12,4;7,8;1,3;3,4;7,0;
Jaqueira;83,6;41,5;42,0;6,3;3,5;0,9;1,9;10,1;
Jataúba;50,2;48,3;1,9;6,9;0,6;0,0;6,3;42,9;
Jatobá;98,5;44,1;54,4;0,3;0,1;0,2;0,1;1,2;
João Alfredo;78,7;77,7;1,0;0,4;0,0;0,0;0,3;20,9;
Joaquim Nabuco;81,2;65,9;15,3;9,3;6,2;0,3;2,8;9,5;
Jucati;0,5;0,5;0,0;0,2;0,0;0,2;0,0;99,4;
Jupi;40,4;36,6;3,8;33,1;15,5;1,0;16,7;26,5;
Jurema;92,9;92,2;0,7;0,6;0,1;0,0;0,5;6,5;
Lagoa do Carro;82,0;66,0;16,0;4,5;1,6;1,8;1,2;13,6;
Lagoa do Itaenga;81,6;54,9;26,8;4,1;1,0;0,6;2,5;14,2;
Lagoa do Ouro;95,7;94,2;1,5;0,3;0,1;0,0;0,3;4,0;
Lagoa dos Gatos;88,7;87,4;1,3;2,4;0,7;0,1;1,6;8,8;
Lagoa Grande;88,1;60,4;27,7;3,6;1,4;0,4;1,8;8,3;
Lajedo;88,5;72,8;15,6;2,2;0,6;0,1;1,4;9,3;
Limoeiro;80,6;67,8;12,8;3,1;0,8;0,2;2,2;16,2;
Macaparana;93,4;90,3;3,1;0,6;0,3;0,0;0,3;6,0;
Machados;93,3;81,3;12,0;1,6;0,6;0,1;1,0;5,1;
Manari;1,1;1,1;0,0;0,0;0,0;0,0;0,0;98,9;
Maraial;79,4;52,8;26,6;10,5;5,4;1,1;4,0;10,2;
Mirandiba;90,3;67,1;23,2;0,3;0,1;0,0;0,1;9,4;
Moreilândia;77,9;63,3;14,7;0,7;0,0;0,1;0,5;21,4;
Moreno;87,5;81,8;5,7;6,2;1,0;0,2;5,0;6,3;
Nazaré da Mata;93,7;88,4;5,3;0,9;0,3;0,1;0,5;5,4;
Olinda;94,4;85,4;8,9;3,5;2,4;0,4;0,7;2,1;
Orobó;90,5;81,1;9,3;0,7;0,5;0,0;0,2;8,9;
Orocó;95,8;86,0;9,8;0,1;0,0;0,0;0,1;4,0;
Ouricuri;86,5;71,5;15,0;0,7;0,1;0,0;0,6;12,8;
Palmares;94,0;83,4;10,6;2,5;0,8;0,3;1,4;3,5;
Palmeirina;85,1;78,5;6,6;4,6;3,0;0,8;0,8;10,2;
Panelas;87,5;82,0;5,5;1,2;0,2;0,5;0,5;11,3;
Paranatama;64,8;64,8;0,0;4,6;1,3;0,0;3,3;30,6;
Parnamirim;95,3;85,7;9,7;0,1;0,0;0,0;0,1;4,5;
Passira;75,4;62,3;13,1;1,1;0,3;0,1;0,7;23,5;
Paudalho;70,0;54,0;16,0;17,0;5,1;1,0;10,9;13,0;
