municipio;moradores_por_domicilio_particular_permanente_total;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_ate_1/4_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/4_a_1/2_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1/2_a_1_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_1_a_2_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_de_2_a_3_salarios_minimos;moradores_por_domicilio_particular_permanente_com_rendimento_medio_mensal_mais_de_3_salarios_minimos
Nazaré da Mata;4,1;4,9;4,5;3,6;3,3;3,7;3,2
Olinda;3,8;4,5;4,3;4,0;3,6;3,4;3,1
Orobó;4,3;5,6;4,4;3,1;2,8;3,9;2,9
Orocó;4,6;5,4;4,9;3,9;4,1;4,7;3,3
Ouricuri;4,4;5,3;4,5;3,5;3,4;3,3;3,4
Palmares;4,1;5,3;4,2;3,6;3,6;3,4;3,2
Palmeirina;4,0;5,2;4,0;3,1;2,7;3,1;1,9
Panelas;4,2;5,5;4,1;2,9;2,8;2,5;3,6
Paranatama;4,1;5,6;4,6;2,8;2,6;3,4;2,3
Parnamirim;4,5;5,7;4,5;3,5;3,4;3,9;4,5
Passira;3,9;4,9;4,2;3,1;3,0;3,2;3,5
Paudalho;4,2;5,1;4,2;3,6;3,4;3,6;3,6
Paulista;3,8;4,3;4,2;4,0;3,6;3,4;3,1
Pedra;4,1;5,0;4,4;2,9;3,5;3,6;2,9
Pesqueira;3,8;4,6;4,0;3,2;3,4;3,2;3,0
Petrolândia;4,4;5,4;4,7;4,1;3,3;3,4;2,9
Petrolina;4,2;5,0;4,6;4,1;3,7;3,7;3,4
Poção;3,5;4,3;3,8;2,8;2,2;2,7;2,9
Pombos;3,9;4,6;4,4;3,4;3,1;3,5;2,9
Primavera;4,1;5,1;4,6;3,2;2,7;2,5;3,2
Quipapá;4,6;6,0;4,4;3,3;3,2;3,2;2,9
Quixaba;4,3;5,0;4,3;2,7;3,4;2,7;5,7
Recife;3,7;4,4;4,3;3,8;3,6;3,4;3,0
Riacho das Almas;3,6;4,7;3,7;2,9;2,5;3,2;2,8
Ribeirão;4,3;5,2;4,6;3,4;3,8;3,2;3,3
Rio Formoso;4,7;5,7;4,8;4,0;3,4;3,6;2,7
Sairé;3,7;4,4;4,1;3,1;2,8;2,7;2,5
Salgadinho;4,3;5,6;4,7;3,3;2,9;4,0;4,7
Salgueiro;4,3;5,1;4,6;3,8;3,6;3,4;3,2
