 Mortalidade - Brasil,,,,,,,,,,,,,,,,,,,,,
�bitos p/Ocorr�nc por Munic�pio e Ano do �bito,,,,,,,,,,,,,,,,,,,,,
Categoria CID-10: X93   Agressao disparo de arma de fogo de mao, X94   Agressao disparo arma fogo de maior calibre, X95   Agressao disparo outr arma de fogo ou NE,,,,,,,,,,,,,,,,,,,
Per�odo:1996-2015,,,,,,,,,,,,,,,,,,,,,
Munic�pio,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
412575 S�o Pedro do Igua�u,-,-,-,-,-,1,-,1,-,-,-,-,3,1,1,1,-,-,-,1,9
412580 S�o Pedro do Iva�,-,-,-,-,-,-,-,2,1,1,1,3,-,-,-,-,3,-,1,3,15
412590 S�o Pedro do Paran�,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,2
412600 S�o Sebasti�o da Amoreira,-,-,-,-,-,-,-,-,1,-,-,-,1,-,1,-,1,-,-,-,4
412610 S�o Tom�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
412620 Sapopema,-,-,-,1,1,-,1,-,1,1,-,-,1,2,-,-,1,-,-,-,9
412625 Sarandi,6,6,4,3,3,8,8,10,7,14,16,22,15,17,30,39,52,21,21,13,315
412627 Saudade do Igua�u,-,-,-,-,-,-,-,-,-,1,-,-,1,-,1,1,3,3,-,-,10
412630 Seng�s,-,-,1,1,-,2,2,-,4,-,-,1,-,1,1,-,1,-,-,1,15
412635 Serran�polis do Igua�u,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
412640 Sertaneja,-,2,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,3
412650 Sertan�polis,-,-,-,1,2,-,-,1,2,2,3,3,15,4,3,3,2,1,1,-,43
412660 Siqueira Campos,-,-,-,-,1,-,-,-,1,-,-,1,-,1,1,-,-,2,-,-,7
412665 Sulina,2,-,-,-,-,2,-,-,1,1,1,-,-,1,2,-,-,1,-,-,11
412667 Tamarana,-,-,2,1,-,1,2,2,1,7,2,3,-,1,1,4,9,4,-,2,42
412670 Tamboara,-,2,-,-,-,-,-,-,1,-,2,-,1,-,2,-,-,-,-,-,8
412680 Tapejara,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,1,1,-,1,3,9
412690 Tapira,-,1,1,1,-,1,1,-,1,1,2,-,1,1,-,-,-,-,-,-,11
412700 Teixeira Soares,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,1,4
412710 Tel�maco Borba,2,9,-,4,2,7,4,7,9,7,13,16,24,15,19,16,24,20,34,38,270
412720 Terra Boa,-,1,-,-,1,-,-,-,1,1,-,1,-,3,-,-,3,-,1,-,12
412730 Terra Rica,-,-,-,-,-,-,-,-,-,1,-,1,-,1,1,1,3,2,3,9,22
412740 Terra Roxa,-,1,-,1,-,1,-,-,1,1,1,6,1,2,1,4,5,7,1,4,37
412750 Tibagi,-,-,1,-,1,-,1,-,3,3,1,2,-,2,-,3,-,-,1,-,18
412760 Tijucas do Sul,2,-,-,2,1,-,-,2,4,2,1,2,-,1,2,2,1,3,3,2,30
412770 Toledo,5,4,10,10,5,7,8,11,18,10,24,34,50,38,25,25,22,22,11,19,358
412780 Tomazina,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,1,-,4
412785 Tr�s Barras do Paran�,2,-,2,2,1,1,3,4,3,-,-,3,1,2,-,1,1,2,1,-,29
412788 Tunas do Paran�,-,-,-,1,-,-,-,3,2,2,1,3,-,-,1,-,-,-,1,-,14
412790 Tuneiras do Oeste,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,1,-,-,1,2,8
412795 Tup�ssi,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,-,-,2,-,2,8
412796 Turvo,1,2,-,2,2,2,3,2,2,-,-,1,1,-,-,1,1,1,2,2,25
412800 Ubirat�,-,-,2,-,-,4,-,4,1,1,2,-,-,2,1,2,3,4,8,4,38
412810 Umuarama,8,9,8,14,14,11,16,28,28,14,19,31,30,27,39,33,16,24,21,12,402
412820 Uni�o da Vit�ria,1,2,3,3,5,3,3,1,2,2,11,1,2,2,2,3,3,6,7,4,66
412840 Ura�,-,-,-,1,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,4
412853 Ventania,-,-,-,-,2,-,-,1,-,-,-,1,3,2,-,-,2,1,-,-,12
412855 Vera Cruz do Oeste,-,-,-,-,2,-,1,-,-,2,-,-,4,1,1,1,1,3,-,-,16
412860 Ver�,-,-,1,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,4
412865 Virmond,-,-,1,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,3
412870 Vitorino,-,-,-,-,1,-,-,-,-,1,-,-,-,2,-,-,-,-,-,1,5
412850 Wenceslau Braz,1,1,-,-,1,2,-,-,-,1,-,2,-,-,1,1,1,-,-,1,12
412880 Xambr�,1,-,-,-,-,-,-,-,1,1,2,-,1,2,1,5,1,1,-,1,17
410000 Munic�pio ignorado - PR,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,2
420010 Abelardo Luz,2,3,1,3,-,3,2,1,5,3,4,-,1,2,1,2,3,-,1,2,39
420020 Agrol�ndia,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2
420030 Agron�mica,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1
420040 �gua Doce,-,-,-,-,1,-,-,1,1,1,1,2,2,-,2,-,-,-,1,1,13
420050 �guas de Chapec�,-,-,-,-,-,-,1,-,1,-,1,2,-,1,-,-,-,1,1,-,8
420060 �guas Mornas,-,-,-,-,-,-,-,1,-,1,-,-,1,-,-,-,-,-,-,-,3
420070 Alfredo Wagner,-,-,-,-,-,1,1,-,-,1,-,-,-,-,-,-,2,-,-,-,5
420080 Anchieta,1,-,-,-,-,1,-,3,-,-,-,1,1,-,-,-,-,-,-,1,8
420100 Anita Garibaldi,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-,-,1,-,4
420110 Anit�polis,1,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,3
420120 Ant�nio Carlos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,-,-,4
420125 Api�na,-,-,-,-,-,1,2,1,-,-,-,2,-,2,-,1,-,1,-,-,10
420130 Araquari,-,3,2,2,1,-,1,-,1,-,1,2,3,1,2,5,4,1,2,5,36
420140 Ararangu�,4,2,4,-,2,3,2,3,3,6,3,5,3,4,5,1,7,5,4,4,70
420160 Arroio Trinta,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
420170 Ascurra,-,-,-,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,4
420180 Atalanta,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
420195 Balne�rio Arroio do Silva,-,-,-,-,-,-,1,-,-,-,1,-,1,-,4,-,1,-,-,-,8
420205 Balne�rio Barra do Sul,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,1,3
420200 Balne�rio Cambori�,3,5,2,5,6,7,8,5,8,9,5,15,22,18,25,12,13,22,17,14,221
420207 Balne�rio Gaivota,-,-,-,-,1,-,-,-,-,-,-,2,-,-,-,-,-,-,1,1,5
421280 Balne�rio Pi�arras,-,1,-,1,-,-,1,-,1,1,2,1,1,2,-,1,4,1,2,3,22
422000 Balne�rio Rinc�o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,5,3,11
420208 Bandeirante,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
420209 Barra Bonita,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,2
420210 Barra Velha,1,-,1,-,-,1,-,2,1,-,1,-,1,-,1,2,2,3,1,4,21
420213 Bela Vista do Toldo,-,2,1,1,-,1,1,1,-,-,-,-,1,1,-,-,-,1,-,-,10
420215 Belmonte,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420220 Benedito Novo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,2
420230 Bigua�u,-,1,1,2,1,-,3,3,3,6,7,4,4,12,5,4,6,3,8,8,81
420240 Blumenau,8,13,4,4,1,9,6,10,3,7,2,10,19,17,19,16,10,10,5,18,191
420243 Bocaina do Sul,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3
420250 Bom Jardim da Serra,-,-,1,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,2,4
420253 Bom Jesus,-,-,-,-,-,-,-,-,-,1,-,-,4,-,-,-,-,-,-,-,5
420257 Bom Jesus do Oeste,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
420260 Bom Retiro,-,-,-,-,2,-,2,1,1,3,-,-,-,-,-,-,1,-,-,1,11
420245 Bombinhas,2,-,-,-,-,1,-,1,-,2,-,1,-,-,-,2,-,1,-,-,10
420280 Bra�o do Norte,1,1,1,-,-,-,1,-,-,-,-,-,1,-,-,1,-,1,-,-,7
420285 Bra�o do Trombudo,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,2
420287 Brun�polis,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
420290 Brusque,4,3,-,-,1,1,2,1,4,1,2,2,1,2,1,-,6,3,4,5,43
420300 Ca�ador,5,3,10,6,5,11,4,6,6,2,7,8,5,12,5,2,4,3,3,3,110
420310 Caibi,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,3
420315 Calmon,-,-,-,2,-,1,1,1,-,-,-,-,-,1,-,-,-,-,-,-,6
420320 Cambori�,5,3,3,2,3,4,3,3,7,4,5,3,9,26,15,17,28,17,15,15,187
420330 Campo Alegre,-,1,1,2,-,-,1,1,3,-,-,-,-,-,1,1,2,1,-,1,15
420340 Campo Belo do Sul,-,-,1,-,1,-,-,-,-,-,1,-,-,2,1,-,1,2,-,-,9
420350 Campo Er�,-,2,3,1,1,1,-,1,1,2,-,1,2,-,1,-,-,-,1,-,17
420360 Campos Novos,3,2,3,2,1,1,3,5,2,6,1,1,1,1,5,6,1,1,4,2,51
420370 Canelinha,1,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,1,-,-,5
420380 Canoinhas,3,2,3,6,3,4,7,-,1,1,3,2,4,1,2,4,1,5,4,1,57
420325 Cap�o Alto,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,1,-,-,-,1,4
420390 Capinzal,1,1,1,1,-,1,-,1,1,-,-,-,2,-,1,-,-,-,1,1,12
420395 Capivari de Baixo,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,1,4
420400 Catanduvas,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,1,-,2,-,-,5
420410 Caxambu do Sul,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,1,-,-,3
420415 Celso Ramos,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
420417 Cerro Negro,-,-,-,-,3,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,5
420419 Chapad�o do Lageado,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
420420 Chapec�,16,13,7,9,10,10,13,13,14,8,11,16,33,21,15,27,36,26,41,31,370
420425 Cocal do Sul,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,1,1,5
420430 Conc�rdia,2,3,-,1,1,1,-,3,-,1,1,-,3,-,1,1,1,-,3,3,25
420435 Cordilheira Alta,-,1,-,-,1,-,-,-,-,-,2,-,-,-,-,1,-,-,-,5,10
420440 Coronel Freitas,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
420445 Coronel Martins,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1
420455 Correia Pinto,-,-,5,-,2,-,-,-,1,2,-,1,1,-,1,-,-,1,-,1,15
420450 Corup�,-,-,1,1,1,-,1,-,2,-,-,-,-,1,-,-,2,-,-,-,9
420460 Crici�ma,6,6,4,5,8,10,7,20,9,9,11,7,14,16,13,21,44,29,29,49,317
420470 Cunha Por�,-,1,1,-,1,-,-,-,-,1,1,-,-,-,-,-,1,-,-,-,6
420480 Curitibanos,4,3,1,1,3,2,1,3,4,1,1,2,-,-,-,1,1,2,2,4,36
420490 Descanso,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1
420500 Dion�sio Cerqueira,-,1,1,-,2,-,-,1,-,1,-,1,1,-,1,2,2,-,-,-,13
420510 Dona Emma,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2
420515 Doutor Pedrinho,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
420517 Entre Rios,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,2
420520 Erval Velho,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
420530 Faxinal dos Guedes,1,2,1,-,-,-,1,1,1,-,-,-,-,1,-,-,-,-,-,-,8
420535 Flor do Sert�o,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,2
420540 Florian�polis,14,17,16,20,18,40,71,89,91,83,64,68,73,67,76,64,48,37,52,53,1061
420543 Formosa do Sul,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
420545 Forquilhinha,-,-,-,1,-,1,2,-,-,-,-,-,-,-,-,1,-,1,3,1,10
420550 Fraiburgo,-,1,1,3,2,3,1,3,3,2,1,3,-,-,1,3,2,1,-,-,30
420555 Frei Rog�rio,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
420560 Galv�o,-,-,-,-,-,-,-,1,-,1,-,-,-,1,1,-,-,-,-,-,4
420570 Garopaba,2,1,1,1,-,-,1,2,1,-,1,-,-,-,-,-,-,1,-,-,11
420580 Garuva,-,-,1,-,3,1,1,-,2,-,-,1,-,1,-,-,1,3,5,3,22
420590 Gaspar,-,1,2,-,-,1,1,1,-,-,-,3,4,2,2,6,2,1,5,1,32
420600 Governador Celso Ramos,1,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-,-,-,-,1,7
420610 Gr�o Par�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
420620 Gravatal,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,1,-,3
420630 Guabiruba,-,-,-,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,1,-,4
420640 Guaraciaba,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,3
420650 Guaramirim,-,-,-,-,-,-,-,1,-,-,-,-,-,2,1,1,2,1,-,1,9
420660 Guaruj� do Sul,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
420665 Guatamb�,-,-,1,1,-,1,-,-,-,-,-,1,-,-,-,1,-,-,-,-,5
420670 Herval d'Oeste,-,-,-,1,1,-,2,-,-,1,-,-,-,-,-,-,-,-,1,-,6
420680 Ibicar�,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2
420690 Ibirama,-,-,1,-,-,-,-,-,1,-,-,1,1,2,-,-,-,-,1,-,7
420700 I�ara,3,2,-,-,1,-,3,2,2,3,2,1,3,1,1,4,5,3,1,8,45
420710 Ilhota,-,1,-,-,1,-,-,-,-,-,-,-,3,-,1,3,1,5,-,2,17
420730 Imbituba,1,-,1,-,2,2,2,1,-,1,-,3,2,1,2,3,-,2,1,-,24
420740 Imbuia,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-,-,2
420750 Indaial,4,-,1,-,2,-,1,1,-,-,-,1,1,1,4,3,5,-,-,2,26
420757 Iomer�,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,2
420760 Ipira,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
420765 Ipor� do Oeste,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,2
420768 Ipua�u,-,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,4
420770 Ipumirim,-,1,-,-,-,-,-,-,-,2,1,-,-,1,-,1,1,-,-,-,7
420775 Iraceminha,-,1,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,4
420780 Irani,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,5
420785 Irati,-,-,-,-,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,1,4
420790 Irine�polis,-,2,1,1,-,-,-,1,-,-,-,-,-,1,-,-,-,1,-,-,7
420800 It�,-,-,-,1,-,-,-,1,2,1,-,-,-,-,-,-,-,-,-,-,5
420810 Itai�polis,1,2,-,-,-,-,2,1,-,3,-,-,2,1,-,-,3,-,2,1,18
420820 Itaja�,5,11,7,13,10,22,23,24,29,29,40,33,54,52,48,40,25,23,28,33,549
420830 Itapema,1,-,-,3,1,1,-,2,2,7,9,2,8,6,7,7,5,4,4,1,70
420840 Itapiranga,-,-,1,-,-,-,-,1,-,-,-,-,1,-,-,-,1,-,1,2,7
420845 Itapo�,-,2,1,-,-,2,1,1,2,-,2,-,2,3,2,1,2,4,2,9,36
420850 Ituporanga,-,-,-,-,1,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-,4
420860 Jabor�,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1
420870 Jacinto Machado,-,-,2,-,1,1,1,-,-,1,-,-,-,-,1,-,1,-,-,-,8
420880 Jaguaruna,2,-,1,1,-,-,1,-,-,1,-,1,-,3,-,-,-,3,3,1,17
420890 Jaragu� do Sul,3,1,3,2,-,6,4,3,5,6,3,1,3,2,4,5,8,1,3,-,63
420900 Joa�aba,2,-,-,-,1,2,4,1,2,2,-,1,2,2,2,2,1,-,1,-,25
420910 Joinville,26,23,17,23,30,31,29,25,31,34,40,49,66,63,49,48,59,53,70,100,866
420915 Jos� Boiteux,-,-,-,-,-,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,3
420917 Jupi�,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
420930 Lages,9,16,10,7,4,8,9,11,3,8,6,2,5,2,6,8,4,5,11,11,145
420940 Laguna,-,2,1,1,2,2,3,1,-,1,1,2,-,5,7,8,5,10,4,8,63
420970 Lebon R�gis,2,1,2,2,1,4,-,2,1,6,3,-,1,-,-,-,-,-,-,1,26
420980 Leoberto Leal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
420985 Lind�ia do Sul,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
420990 Lontras,-,-,-,-,-,1,-,1,-,-,-,-,-,1,-,1,-,-,-,-,4
421000 Luiz Alves,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,3,1,1,-,-,6
421010 Mafra,1,1,1,1,2,1,-,-,1,2,3,1,1,1,1,2,-,-,2,-,21
421020 Major Gercino,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,3,-,-,4
421030 Major Vieira,1,-,1,-,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,5
421040 Maracaj�,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,2
421050 Maravilha,1,1,1,1,-,1,-,-,1,1,-,2,-,2,-,-,-,-,-,2,13
421060 Massaranduba,-,-,-,1,1,-,-,-,-,-,-,1,-,3,-,1,-,-,-,1,8
421070 Matos Costa,-,-,-,-,-,-,-,-,2,1,-,-,-,-,1,-,1,-,-,-,5
421080 Meleiro,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,1,-,3
421085 Mirim Doce,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2
421090 Modelo,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1
421100 Monda�,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,2
421105 Monte Carlo,1,-,-,1,3,1,1,-,-,-,-,-,-,-,-,-,1,-,-,-,8
421110 Monte Castelo,-,1,1,2,-,-,-,1,-,1,-,1,1,2,-,-,-,-,1,1,12
421120 Morro da Fuma�a,-,-,1,1,-,-,-,-,-,-,1,-,-,-,1,-,-,-,1,-,5
421125 Morro Grande,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,1,-,-,-,-,3
421130 Navegantes,2,2,1,1,-,2,5,1,2,4,12,7,21,16,15,11,15,10,19,9,155
421140 Nova Erechim,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,2
421145 Nova Itaberaba,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,2
421150 Nova Trento,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,2,-,-,-,4
421160 Nova Veneza,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,1,3
421170 Orleans,-,-,1,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,1,-,4
421175 Otac�lio Costa,-,-,1,-,1,1,-,-,1,-,-,-,-,-,-,1,1,-,-,1,7
421180 Ouro,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1
421185 Ouro Verde,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
421187 Paial,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,2
421190 Palho�a,-,4,2,1,4,3,3,18,11,8,14,15,17,10,8,10,14,17,11,10,180
421200 Palma Sola,-,-,1,-,-,1,-,-,1,-,-,-,3,-,1,-,-,-,-,-,7
421210 Palmitos,-,1,1,-,-,2,-,2,-,1,-,-,1,-,-,-,-,-,-,1,9
421220 Papanduva,3,1,-,-,2,1,-,1,-,1,1,1,1,-,-,-,-,2,-,1,15
421225 Passo de Torres,-,-,-,-,-,1,-,-,-,1,-,1,1,-,-,-,-,3,-,-,7
421227 Passos Maia,-,-,1,-,2,-,2,2,-,-,-,-,-,-,-,-,-,-,1,1,9
421230 Paulo Lopes,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,4
421240 Pedras Grandes,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,2
421250 Penha,-,1,-,-,-,1,-,1,-,-,1,-,1,1,6,4,2,6,-,1,25
421270 Petrol�ndia,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2
421290 Pinhalzinho,-,-,-,-,-,-,-,-,-,2,-,2,-,-,-,-,-,-,-,-,4
421300 Pinheiro Preto,-,1,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,3
421310 Piratuba,-,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,1,1,5
421315 Planalto Alegre,1,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,4
421320 Pomerode,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2
421330 Ponte Alta,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,1,-,-,-,-,3
421335 Ponte Alta do Norte,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2
421340 Ponte Serrada,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,3,-,-,1,6
421350 Porto Belo,-,1,2,-,-,-,1,-,1,2,4,2,-,2,1,1,3,1,3,1,25
421360 Porto Uni�o,3,-,1,4,1,1,3,2,2,-,2,1,1,1,1,-,-,1,1,-,25
421370 Pouso Redondo,1,1,-,-,-,-,-,-,-,2,-,1,-,-,-,1,-,1,2,-,9
421380 Praia Grande,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,1,3
421400 Presidente Get�lio,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,2
421410 Presidente Nereu,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,2
421415 Princesa,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1
421420 Quilombo,2,1,-,-,-,-,2,-,1,-,-,-,1,-,-,-,-,1,1,1,10
421430 Rancho Queimado,-,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2
421440 Rio das Antas,2,-,1,-,-,1,-,-,-,-,1,1,-,-,-,-,-,-,-,-,6
421450 Rio do Campo,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,3
421460 Rio do Oeste,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,-,-,3
421480 Rio do Sul,-,-,1,1,-,2,3,5,2,1,5,5,3,3,2,3,5,-,2,2,45
421470 Rio dos Cedros,-,-,-,1,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,3
421490 Rio Fortuna,-,-,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,-,-,-,3
421500 Rio Negrinho,1,-,-,1,-,1,1,-,3,-,3,-,3,1,-,-,2,1,1,4,22
421507 Riqueza,-,1,-,-,1,1,-,-,1,-,-,-,-,-,-,1,-,-,1,-,6
421510 Rodeio,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,2
421520 Romel�ndia,-,-,1,-,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,4
421530 Salete,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1
421535 Saltinho,-,-,-,-,1,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,4
421540 Salto Veloso,-,-,-,-,1,-,2,-,-,-,1,-,-,-,-,-,-,-,-,-,4
421545 Sang�o,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,1,2,2,-,7
421550 Santa Cec�lia,6,1,1,-,5,-,1,6,8,2,5,3,2,-,3,-,1,2,3,1,50
421555 Santa Helena,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,1
421560 Santa Rosa de Lima,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1
421565 Santa Rosa do Sul,-,-,-,-,-,1,-,-,1,-,-,-,-,1,-,-,-,-,-,-,3
421567 Santa Terezinha,-,-,-,1,-,-,-,-,-,-,2,-,-,1,2,-,1,-,-,1,8
421568 Santa Terezinha do Progresso,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,2
421570 Santo Amaro da Imperatriz,-,-,-,-,-,1,-,-,-,-,1,-,2,-,-,-,-,1,2,-,7
421580 S�o Bento do Sul,5,1,3,-,2,2,-,2,2,2,4,3,-,3,4,2,1,3,1,1,41
421575 S�o Bernardino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1
421590 S�o Bonif�cio,-,1,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,3
421600 S�o Carlos,-,-,-,-,-,-,1,-,-,1,-,-,-,-,1,1,-,-,1,1,6
421605 S�o Cristov�o do Sul,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,4
421610 S�o Domingos,-,-,-,-,-,1,-,-,-,1,1,-,-,-,-,-,-,-,1,1,5
421620 S�o Francisco do Sul,1,2,2,-,1,2,2,5,2,1,2,4,2,4,3,6,4,12,3,14,72
