municipio,pessoas_de_10_anos_ou_mais_de_idade_total,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_sem_instrucao_e_menos_de_1_ano,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_1_a_3_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_4_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_5_a_7_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_8_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_9_e_10_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_11_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_12_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_13_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_14_anos,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_15_anos_ou_mais,pessoas_de_10_anos_ou_mais_de_idade_grupos_de_anos_de_estudo_nao_determinados,codigo
Solidao,4220.0,982.0,1368.0,602.0,614.0,129.0,143.0,213.0,12.0,0.0,8.0,25.0,124.0,2614402.0
Surubim,40471.0,8925.0,11318.0,5256.0,6177.0,2239.0,1810.0,3066.0,92.0,140.0,95.0,660.0,693.0,2614501.0
Tabira,19144.0,2807.0,5805.0,3391.0,3147.0,1044.0,709.0,1523.0,34.0,47.0,105.0,151.0,381.0,2614600.0
Tacaimbo,10405.0,2953.0,3450.0,1263.0,1507.0,427.0,237.0,231.0,11.0,0.0,21.0,97.0,209.0,2614709.0
Tacaratu,13088.0,2617.0,4126.0,1851.0,2259.0,604.0,408.0,613.0,24.0,6.0,23.0,149.0,409.0,2614808.0
Tamandare,12970.0,3123.0,4348.0,1660.0,1719.0,434.0,448.0,660.0,2.0,17.0,22.0,117.0,421.0,2614857.0
Taquaritinga do Norte,15554.0,2958.0,4348.0,2984.0,2972.0,534.0,441.0,703.0,34.0,60.0,21.0,208.0,293.0,2615003.0
Terezinha,4925.0,1145.0,2045.0,622.0,488.0,145.0,89.0,153.0,4.0,0.0,5.0,24.0,203.0,2615102.0
Terra Nova,5918.0,919.0,1981.0,935.0,856.0,249.0,283.0,414.0,19.0,21.0,14.0,98.0,129.0,2615201.0
Timbauba,44883.0,9014.0,12271.0,5920.0,7800.0,1601.0,2206.0,4263.0,250.0,161.0,85.0,642.0,668.0,2615300.0
Toritama,16794.0,3745.0,5033.0,2441.0,3309.0,649.0,547.0,821.0,23.0,22.0,22.0,148.0,33.0,2615409.0
Tracunhaem,9897.0,2300.0,2931.0,1534.0,1773.0,381.0,356.0,443.0,5.0,23.0,23.0,72.0,55.0,2615508.0
Trindade,16561.0,4093.0,4698.0,2138.0,2740.0,546.0,666.0,966.0,36.0,36.0,60.0,215.0,367.0,2615607.0
Triunfo,12383.0,1528.0,3295.0,2156.0,2311.0,561.0,730.0,1178.0,49.0,30.0,52.0,298.0,194.0,2615706.0
Tupanatinga,15340.0,5466.0,5699.0,1544.0,1047.0,261.0,297.0,407.0,8.0,10.0,9.0,50.0,543.0,2615805.0
Tuparetama,6358.0,1335.0,1430.0,1053.0,1025.0,493.0,256.0,548.0,19.0,23.0,18.0,95.0,64.0,2615904.0
Venturosa,10673.0,2681.0,2677.0,1621.0,1805.0,518.0,334.0,661.0,4.0,5.0,26.0,117.0,223.0,2616001.0
Verdejante,6801.0,1493.0,1789.0,1216.0,1103.0,242.0,295.0,444.0,0.0,8.0,4.0,131.0,75.0,2616100.0
Vertente do Lerio,6608.0,2069.0,2240.0,697.0,860.0,214.0,127.0,137.0,11.0,0.0,4.0,24.0,226.0,2616183.0
Vertentes,11996.0,2706.0,4049.0,1705.0,1624.0,440.0,314.0,748.0,34.0,22.0,11.0,137.0,206.0,2616209.0
Vicencia,22193.0,4815.0,7337.0,2883.0,3467.0,951.0,785.0,1258.0,117.0,96.0,58.0,238.0,187.0,2616308.0
Vitoria de Santo Antao,94494.0,17547.0,24064.0,13464.0,16215.0,6001.0,4815.0,8752.0,483.0,359.0,376.0,1632.0,787.0,2616407.0
Xexeu,10089.0,2900.0,3666.0,1138.0,1405.0,236.0,243.0,409.0,4.0,21.0,4.0,39.0,23.0,2616506.0
