municipio,pessoas_de_10_anos_ou_mais_de_idade_total,pessoas_de_10_anos_ou_mais_de_idade_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_total,pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_10_a_14_anos_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_total,pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_15_a_19_anos_taxa_de_alfabetizacao_(%),pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_total,pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_alfabetizadas,pessoas_de_10_anos_ou_mais_de_idade_20_anos_ou_mais_taxa_de_alfabetizacao_(%),codigo
Barra de Guabiraba,8272.0,4852.0,58.65570599613152,1307.0,1001.0,76.58760520275439,1285.0,1021.0,79.45525291828794,5680.0,2831.0,49.84154929577465,2601300.0
Barreiros,30694.0,22336.0,72.76992246041571,4614.0,3889.0,84.28695275249241,5035.0,4482.0,89.01688182720953,21045.0,13966.0,66.36255642670467,2601409.0
Belem de Maria,8279.0,5429.0,65.57555260297137,1285.0,1148.0,89.33852140077822,1197.0,1091.0,91.14452798663325,5797.0,3190.0,55.02846299810247,2601508.0
Belem de Sao Francisco,15293.0,10965.0,71.69947034590989,2357.0,1902.0,80.69579974543912,2409.0,2111.0,87.62972187629721,10527.0,6952.0,66.03970741901777,2601607.0
Belo Jardim,53894.0,36283.0,67.32289308642892,7546.0,6037.0,80.00265041081369,7363.0,6284.0,85.34564715469239,38985.0,23962.0,61.46466589713992,2601706.0
Betania,8915.0,5861.0,65.74312955692653,1430.0,1212.0,84.75524475524475,1445.0,1242.0,85.9515570934256,6040.0,3407.0,56.407284768211916,2601805.0
Bezerros,46803.0,31595.0,67.50635643014337,5723.0,5088.0,88.90442075834353,6235.0,5559.0,89.1579791499599,34845.0,20949.0,60.12053379250969,2601904.0
Bodoco,23875.0,15155.0,63.47643979057591,4286.0,3223.0,75.19832011199253,3839.0,3210.0,83.61552487626986,15750.0,8722.0,55.37777777777778,2602001.0
Bom Conselho,32715.0,20238.0,61.861531407611196,5022.0,3622.0,72.1226602947033,5038.0,3944.0,78.28503374354902,22656.0,12672.0,55.932203389830505,2602100.0
Bom Jardim,29635.0,20375.0,68.7531634891176,4225.0,3774.0,89.32544378698225,4635.0,4201.0,90.63646170442287,20775.0,12400.0,59.687123947051745,2602209.0
